,openmpi-ubuntu-gpu-22.04-arm64,mpich-ubuntu-20.04-amd64,openmpi-rocky-gpu-8-amd64,intel-mpi-rocky-8-amd64,openmpi-ubuntu-20.04-amd64,openmpi-ubuntu-gpu-20.04-amd64,openmpi-ubuntu-gpu-22.04-amd64,openmpi-ubuntu-22.04-amd64,openmpi-ubuntu-22.04-arm64,openmpi-rocky-gpu-8-arm64,openmpi-rocky-gpu-9-arm64,openmpi-ubuntu-gpu-20.04,mpich-ubuntu-20.04-arm64,mpich-ubuntu-22.04-arm64,openmpi-ubuntu-gpu-20.04-arm64,openmpi-ubuntu-gpu-22.04,intel-mpi-rocky-9-amd64,openmpi-rocky-gpu-9-amd64,mpich-ubuntu-22.04-amd64,openmpi-ubuntu-20.04-arm64
orange,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,1.0
palegoldenrod,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0
seashell,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0
papayawhip,0,0.0,0,0.0,0.0,0,0,0.0,1.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0
brown,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,1.0,0.0,0,0,0.0,0,0.0,0.0
purple,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0
snow,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0
lime,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,1.0,0,0,0.0,0,0.0,0.0
thistle,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0
rosybrown,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0
mediumseagreen,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0
mintcream,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0
