,cmake-version,kokkos-version
25smglra6ejs64nhm4ux2pmbnoavcaew,3.15.0,3.3.01
2aa2adrzfanc6cvwtu7eqous2b64htf7,3.19.5,develop
2b5m3ug42xxkaddengujslyyb4y4ckx4,3.13.4,3.1.00
2ejrvjyevs6b4foaepuwsnp6oocyuscg,3.18.4,3.1.01
2hqetpb42xntrdenicp5lxny3imxl65x,3.14.3,3.0.00
2iydnuojtaxhtwjl2bsorolykawgem3c,3.17.4,3.2.00
2kwe7cgjtmv3tvhea7j7cgysvkexypjj,3.11.3,3.1.01
2le42aipxvbgztletamyzcvtkgpxc5d5,3.15.2,3.3.01
2msk57eb2mqqqgc57g5vqk2nic65q4st,3.16.5,develop
2onmvohycul2z6nn333tsq45p6uyyvr3,3.20.2,develop
2s372lgvw3dghfwldjs25v27mmgf7hk4,3.10.2,3.1.01
337kiihstpsizjxbvhmdlqr6axt5guy4,3.18.4,develop
375j3r4qkb2q5jbkbgwmaegqnuq7nir7,3.19.2,3.4.01
3bakxjrv7ruqtnd5qcqh5ryywhvkgsxx,3.19.5,3.0.00
3d33rosd4qkxz6jvwxwnzuhzi2tjd5fd,3.17.0,3.4.01
3dgqpewvkdc2nmskb46mygzuuznyvpyy,3.16.4,3.3.01
3eewwvlor5dn5z3e56ydpklv3qcq6rsw,3.19.2,develop
3f263xcojy6nyjfsz5i5m2touocrg3s3,3.19.6,3.1.01
3f3rpcmceawgztzthlxgx76in3hna2hq,3.19.4,3.4.01
3hzo3yupiyurzib37z6c3rbutezfn7yw,3.21.3,3.1.00
3hzxsi73nnh3l5z2eun2ulxpmwd5xkit,3.10.3,3.1.01
3ip4vfjfmoulrsinneix47kcjnv5t4cg,3.21.2,3.3.01
3oziouqmrhkq3dzmygog67ek7mulo6ew,3.10.0,3.1.01
3rw7u6sqesnphj5s22sie6vxzlgafxbw,3.12.0,3.0.00
3uhunkba7xfktest6mu3btbws3s6yggv,3.15.4,3.1.00
3uo6b7kbvowzo3lqde672f2gx3i6nccn,3.21.2,3.1.00
3vffrrgmodkxoizcxlcbnoqzuecijy5i,3.12.4,3.1.00
3yr5emuzu5dzgpkm6zwpc5bm3ba4go2u,3.19.1,develop
3za5rx6c6so6dqvafrhic4ukwudpt2ee,3.20.2,3.1.01
3zfy7uzsjoiy3fqvwgjjrqdwau4fxqcm,3.13.5,3.0.00
42swm2f4mqeit4xpoajohsfhlbhf2ohg,master,3.4.00
43gz3yqgd2ue5schvba364kmave2evwh,3.14.3,3.1.00
43jc2tymanbpw5rdcwfwqm7u5llblpk3,master,3.1.00
44hlkdhabungxlndtun44uyoemmqtot7,3.19.0,develop
4aog7hod742rka2gyseoccrewqetjuhz,3.11.0,3.3.01
4dlhsiyejp6wcj7rzhqwqf44adbfs567,3.19.4,develop
4hgmfv4bn6plj54ens7zky7umoxcptwl,3.16.6,3.4.00
4lcooxtzkwbe53wkgp4m43g6x6goy5xx,3.20.5,3.1.01
4leps2xy4ew74hwldjk6ellhq6tusfis,3.20.0,develop
4orrwaafwgwym7x4hc6xzywe7z2ccbcx,3.20.0,3.4.00
4oyhe2zmluldk72dhmgrqf5am456qsap,3.16.6,3.3.01
4pruiwjchs5zazxcqg7cb5idzcsll7hb,3.15.6,3.0.00
4riflg6oykyw7isoofnoftfahounnjnj,3.10.1,3.1.00
4v6a4iqz7khx45b6jzpbu4wn7j773roo,3.14.2,3.1.00
4wmdvwuh5yv4iyfddal5m5lacinllqjg,3.20.2,3.1.00
4zlncnjzcobzl3qmj3xfjh6gkev27776,3.18.2,3.0.00
53eawyosj3tvzug5ikcdrs3qi6xtykoh,3.13.4,3.1.01
5gowtranlif6o4ve24zqm7rahfi75r72,3.15.4,3.2.00
5iiuszmsri73fsgugfcoe7e72cjkcfzy,3.20.4,3.4.01
5jezdlqsm73acd6jqy3w6woe6lenbbdv,3.21.1,master
5l5ivkxfc3n2ozeximhv3a7m5ue3dbro,3.15.5,3.2.00
5nlw4zloqdqniv77j6ymva3e55huaje3,3.16.9,3.1.01
5pwtqgdolaffluuapom2b7roigyulyha,3.12.1,3.1.00
5uhbdabpvmzo34u6y6muujtywyqrizpr,3.16.8,3.4.00
637ypptwizhx6dftiuuatyyrhfhnkbcv,3.19.3,3.2.00
64mlayqfo2bjo2b7mxaftqm2wxiqhhpi,3.12.4,3.2.00
6bstkhe22hd27wp6xfqmwnmq6jqvaaxh,3.17.5,master
6c6mi2ns5enfsuwguiqp6oe76ryuzbhm,3.19.7,develop
6ggtvtwiqmgdhwdhbccufmchon27omya,3.19.8,3.4.01
6glgi27pbmnmdzanbvrovhxpdaqev5sx,3.16.4,3.2.00
6kmvxwe27ihhmrfejthlinhxu3jitgja,3.10.1,3.3.01
6mwpaxqbdypspxxswscwdxve6dkdkv3e,3.20.0,3.1.00
6ofekkgpu7i3fl76amsnymovt3onpe4e,3.19.2,3.3.01
6pdax52xqd2oiu7hhr45x5rbfougnztp,master,3.0.00
6slrzdsv645glcnaqjnkr7if7ekngxmt,3.15.7,3.0.00
6ukzowauvqhq4rgc6o322k323shqj5gm,3.21.3,develop
73rysfjf432pseewy4c2pcejsvrrrdst,3.16.7,3.1.01
73tkdnwlzssougi6mqhjlx72ym7jqljv,3.17.1,develop
757k76wdlc5aj3dlph2utajv5o2qnbw3,3.16.0,3.3.01
77cdchoeqe2xnvpvnktni3ricf3s4uba,3.19.8,master
7fjfwcevabevonr6d2agoh37syjooeat,3.14.2,3.0.00
7is4hohyntfpzom37riw2r557kkfmznj,3.18.2,3.1.01
7jqin4cdoy56xxe4za4c32kpfansya4i,3.18.1,3.0.00
7mvnw7tnsvoncfl7llycsha542bwoki4,3.12.2,3.0.00
7syxfuihmrdch4c3bbn5rdd474qdisil,3.21.1,3.1.00
7u67pq2xgxza7kdm6p3ufyl6wmrrjba5,3.15.1,3.2.00
7xer6hxakxha44oxezwltnz4vum66ude,3.10.3,3.1.00
7y66iq6xhq6pbwqj6apghx6mojnwx7am,3.19.0,3.4.01
a5xoujhl32e3vexy6oo2ifvdzob5w46p,3.19.6,3.0.00
ahqac57gmbcmcw776qpeqkf45t3pp7sk,3.22.1,3.1.01
