,mercury-version,cmake-version,boost-version
25b3jtmrdujkko5cvrwrtovkvea46xbd,4.0,71.0,7.0
266d2555zd3ool5whsxyac6ty3haq546,0.0,23.0,24.0
2bw2itsfihby6ydrkznwfw77phxtfpwk,5.0,50.0,15.0
2cpwshmikm4aychp5l7grgh7wwe4kr4b,6.0,45.0,13.0
2cskqsvjowtmgcfgvxbibv7slv2ahrjm,5.0,41.0,19.0
2j2j6bqfbmye5ubwahasjlplwxpdcl2e,4.0,57.0,23.0
2kpwum45tvsks7iisbxrngbe4jt3fnub,2.0,39.0,22.0
2nrtfcqkxbewhvsebee62eyloje3ctbe,1.0,27.0,22.0
2pfwrt3aihmfbqvzx25ingwf372jdeuq,0.0,6.0,7.0
2pr5ziv227n7i7ugtq4zwhrmhhwrmbuc,0.0,11.0,8.0
2v7tejukcaauwfsr6zxdot5t7e5nocda,2.0,39.0,9.0
36d47noxnunuxeewxky2hquao3xyu4uv,2.0,68.0,6.0
37tkyg4lll3bduuir66nubawzvj6tijf,3.0,64.0,13.0
3ak6socdi7uuihvkyix3pwekaxykm5v7,1.0,4.0,26.0
3aouixxijxahl2kqmbhu7saizxex3rio,2.0,12.0,1.0
3djd3h3dmoa6hw5gewe3ycvlai34myal,1.0,92.0,5.0
3kfewqoy5uisjezgd6c2lfqnsr2ct4it,0.0,35.0,12.0
3kypmyv7jaaqwhggcth2k4kuxdym5kxt,1.0,92.0,9.0
3rqcwbdvbtxzgzu6qs4vr7odgxcbkd4d,1.0,88.0,6.0
3sb7s4zutgnj57yyjfpifrq5pb2h2c4v,2.0,33.0,27.0
3wveus6ov4eyxrcogruk6hgevzllfivq,5.0,88.0,16.0
3ykhqaxzi6up62rsfazbodrtj5spdmqc,6.0,2.0,27.0
3yz5zdbowitulk4mkyn7tizhvadmvvfg,5.0,72.0,26.0
42gnfizuumgqngztvn3jsbhjjgdgzgew,1.0,6.0,8.0
43pguxftdx3cftkwewvhjb4nmwvc2yzc,6.0,96.0,11.0
44ijixum5hcyxp4cgxrti3l6ziymoo2h,3.0,20.0,19.0
45quiazewmmc7xs524lt7rgt67r7enks,3.0,92.0,30.0
4b4gh4cadwn42o6rkd5zwuhooosypche,1.0,41.0,29.0
4ee2bd3ofa5bqx54xtzs6nublu6duh7v,5.0,1.0,10.0
4n65ilziytzfm4tpqawdixchel3zojks,3.0,40.0,10.0
4ptmcp7irxf6bjuzb7hpnyr7j5yne4jr,1.0,52.0,9.0
54afoei7vw4ssuzdyq36zmddlvqq46rk,2.0,67.0,4.0
56tx6xwx7evawyszdvoqi5unqf4v7ylj,3.0,62.0,5.0
5db2ndqyrhgmv5nsijzd7gehzi37lh7x,2.0,84.0,29.0
5dykew7y5s3dqjr5q54x37sad6x3tdhw,3.0,40.0,7.0
5fbpy4m64vsq2tqiqrkn5pdwetyljjyl,5.0,32.0,16.0
5giolzca73utytoirbk4nlysrqfqmq5k,1.0,19.0,3.0
5h7zpwrblbp7dyivab5airzhnjvwhrj2,6.0,14.0,23.0
5jnzkzg5zil2tjlbou4osij2p6oxohby,1.0,73.0,28.0
5nsl6sw6xovellms37xvuzeeeqegfjkj,4.0,64.0,0.0
5o6cbwnbrgpanqvi3lp46gnkjg4mmipq,0.0,65.0,10.0
5tqbwf6hbu3ont2orrgr6myxugwthj5b,5.0,54.0,9.0
5xfrwup6ou7x6yexhisx7aepao22uzyd,6.0,20.0,1.0
62me4ivhjp6gyitlnvizy5cpmwqs22vq,2.0,13.0,30.0
65rxaljbmrqnfzdlnvzlu64xh7ggtwhn,6.0,13.0,27.0
6axb3jaxandgwbbvij2nhefdemibcb5g,4.0,22.0,18.0
6bcyht24abla3zreuhvs4sx47agockgg,6.0,56.0,8.0
6fvxn533ovuqjqpy5ide44y5f3oe3rsk,4.0,17.0,4.0
6hpjvxnypmomn34wijz6xpbkwy2wxp73,2.0,22.0,5.0
6p5zz6q7e2nawfehwdrjrp23nj5zglk3,1.0,49.0,9.0
6pikslynt5dm7ugm4m66mjfxn2dnhres,6.0,91.0,8.0
6ptjmvuqxhc5ijgzragwdsyhrsmmprt4,4.0,86.0,30.0
6sdk2wj2oo6gv6d53z6ijkhqokiq4kby,5.0,92.0,20.0
6te4l7cihpusazfo3kcxzg47lefzsusy,6.0,93.0,2.0
6uxrbm3otnqazko4h24vocgv5a7szd3r,0.0,24.0,12.0
6uyths56jeqd34en7dw4ws5uxho2bolt,2.0,63.0,13.0
6vg23upkw4trho62hpquvcxq36qjyfou,4.0,34.0,3.0
6y7bvv65woij24wyykjehbwa3i66l3d5,6.0,77.0,24.0
6ykxzuj4ckor57ox5plgx2l7namqhsld,4.0,29.0,14.0
6zuglmss6deaiilrvfdwrbsarudgylpq,3.0,28.0,0.0
72fnl5qmds53blk5ubst7zrnnvx3ernv,6.0,8.0,18.0
73miwsvapoa7i6ebfboc6wpe7kplrbsh,3.0,39.0,6.0
76otnnk67v3cxsj7jz575lfduzefzxcy,4.0,3.0,5.0
773yioviu35xr4waml2gehsoo5xdbqph,1.0,49.0,8.0
77e4g2n4grertamocz3ocubyozbjbztu,0.0,54.0,24.0
77hqlzofojgbjw5jsn47ee2wy6dao27k,1.0,36.0,26.0
7a53cg4fd4lzaxr73bzxx4qip2yvtoqk,0.0,46.0,1.0
7d5j7ym342r4nepfmipwampua44crhaz,6.0,6.0,17.0
7d6nckx2qi7tfr35qbucziwbo5sltjxp,5.0,50.0,7.0
7ez2iitj2p3cbzmwytbvmyeqjxz3nmf6,5.0,30.0,6.0
7fyzonq33w6uls467tkrwsxooa472nj3,4.0,21.0,15.0
7hz2lhkawnvz3jhreu7u5lblb7zn2sxg,0.0,36.0,11.0
7p2vppgbh4hzrzhyriegl24z2ukuiay4,1.0,82.0,23.0
7p5siqsj6o4igamc3sgmvpgvqd5og3cs,1.0,89.0,0.0
7potywhygbe3gkvp5tuevocv2f7f7u72,5.0,10.0,15.0
7q3wd7unop22v3skbxn3zcfobxubukax,3.0,66.0,16.0
7qxnz6kwennhfqhxyci3koinan6mz7fj,3.0,85.0,8.0
7r4de7yhmjvxpyvmiest7h4c4et6gre4,5.0,5.0,14.0
7twn6gpffltprijnpulko5rf77fvehrl,0.0,96.0,11.0
7uwilxjafvtdraywqzq3ae5vy2cktrxh,6.0,2.0,16.0
7w6ctvqhkbxhrtxtd6y2ymwdnwvapzoq,5.0,44.0,19.0
7xx4xdwvusrdg4lvucmjju44on7vslzo,0.0,78.0,12.0
7ymuz77ak6gv37fxawkqlqfhdpl3ezqc,3.0,1.0,4.0
a2nmsrgsrzkpo7gpsnrdi6chsw3qfisx,4.0,48.0,11.0
a3eo5ccb2tlhtkyopwrvispoupylvums,3.0,70.0,7.0
a3uut5yijeiyzizxvs5nyup3vyubaunh,2.0,17.0,2.0
a4vmklyh5mkbhi4n24dp4oyze2qlvgwl,5.0,41.0,30.0
a5ifoqaypfxhd5kfekcxp2v3atvh5xl5,0.0,26.0,28.0
a7v6riphvdkj2ipkod5nxn35ws4angq5,6.0,45.0,27.0
aecpdy2jcnppgevr6krrcbag67agxrjk,4.0,4.0,0.0
aeoaujiwbo5tvxj6zmidwtylgbv7zfjf,4.0,71.0,8.0
ahvpkhm44si2amz4k6jgufpkj3aalrsb,0.0,74.0,12.0
aj2fbs2l2rudxdnaj73shjpsjteftg5v,6.0,77.0,11.0
ak4rixx54ysgtxyqa5qpqzbirdgan56b,0.0,38.0,16.0
akzpfcq7fd3webeojswy6uj7g4ic4hqx,1.0,60.0,22.0
am2suohsb55k6npume3iuxoogiwotijh,6.0,77.0,1.0
amr7bp44d26styvxiyji5o3bpzwgdkou,1.0,49.0,18.0
