,hypre-version,petsc-version,python-version,superlu-dist-version,hdf5-version,metis-version,parmetis-version,trilinos-version
34u2igpu3jd3u2tdv2lxg2ye72hwpzet,12.0,26.0,27.0,18.0,1.0,1.0,1.0,2.0
3jtwfv5ib6hxvxfpkjlya2atm52q67lp,5.0,12.0,4.0,18.0,11.0,1.0,1.0,2.0
573dd2bzfxwcgebxjk7t52s7bqchnrlq,10.0,17.0,27.0,8.0,17.0,1.0,1.0,2.0
5lx4pthyav6yupuclwqhznwxed7dma5x,9.0,30.0,10.0,3.0,6.0,1.0,1.0,2.0
6sxckvbexwpletqtj2fzyw4x4i2mb6o3,13.0,29.0,26.0,18.0,17.0,1.0,1.0,2.0
7wkel64ulllmqq2zreljpnhdznixdy6y,7.0,17.0,12.0,5.0,12.0,1.0,1.0,2.0
e4dub7tdn7fiyi6kh23lrgjkao23svpn,6.0,27.0,0.0,18.0,25.0,1.0,1.0,2.0
g2hznoqwlxfanwxajsmnukxfovjcfijn,10.0,24.0,33.0,18.0,20.0,1.0,0.0,2.0
gj5xqvd3vguh3iarwl2gd5oto2v5qzzo,11.0,13.0,38.0,3.0,10.0,1.0,1.0,2.0
h2e2glnxtcoau74hyd6n55jab7vrogwk,9.0,22.0,22.0,12.0,19.0,1.0,0.0,2.0
itpjcj5qoe2fkuo34nyvzri5r2hfj2kg,16.0,31.0,2.0,16.0,13.0,1.0,1.0,2.0
jx47zrxxijasij365eoek4mlfch7nhbh,12.0,26.0,46.0,0.0,23.0,1.0,0.0,2.0
kmngt2xumptl2qjokboxweza6c4x5gzz,7.0,26.0,19.0,0.0,24.0,1.0,0.0,2.0
oaw7xhpgygm37o2z363wcm3zqp7lykb5,11.0,32.0,23.0,1.0,4.0,1.0,1.0,2.0
pzbo6g4ibv2vojluocjgn4ksgozloeqd,14.0,19.0,45.0,16.0,4.0,1.0,1.0,2.0
pzsafers5lkzsherggmy6niuqrap7fmk,12.0,12.0,9.0,5.0,22.0,1.0,0.0,2.0
qs4svzxqo6635254ue6x2hj22tuk6zxv,14.0,24.0,30.0,14.0,23.0,1.0,0.0,2.0
rejzm3nbr2nnoi4bk36qabfnxut7k2jw,8.0,25.0,40.0,10.0,15.0,1.0,1.0,2.0
t6tzsm43ig4g3qz4wjzdhdq6ay6yip6r,12.0,15.0,26.0,18.0,22.0,1.0,0.0,2.0
texvbzrhcbndj5ykhwq3iyfcgmshrc7n,10.0,16.0,31.0,7.0,24.0,1.0,1.0,2.0
vvr62ufyizr4sanl2qzgzzmkt3e6b37n,12.0,12.0,38.0,16.0,11.0,1.0,0.0,2.0
wb7kb7qjp465ebf2ukktjmsftc4siajv,12.0,16.0,30.0,6.0,19.0,1.0,1.0,2.0
yabuw5igs7l5qineq53daos6el77w5se,5.0,18.0,29.0,6.0,21.0,1.0,1.0,2.0
yx2sewy6xvozibik4dfol46o6y2ih6qq,9.0,15.0,16.0,3.0,25.0,1.0,1.0,2.0
z4qqurpfcgnhisurmfawws73npvwyvsr,6.0,21.0,14.0,15.0,12.0,1.0,0.0,2.0
zknomduontwhhbw4xso7i2g343dxyu62,9.0,30.0,25.0,6.0,0.0,1.0,1.0,2.0
3aer34eklhj25w3dqglzhfzivmk4tmqr,0.0,23.0,32.0,18.0,16.0,1.0,1.0,1.0
3n3oaucwp6gxil7njqovhwjre6gucrsn,10.0,31.0,32.0,11.0,21.0,1.0,0.0,2.0
3qdlcwcppe53lfi5unn2smzculfdubib,1.0,4.0,13.0,8.0,16.0,1.0,1.0,0.0
3spao4fv6szo2fwi7orak7h3lnkmsbwj,1.0,35.0,7.0,7.0,2.0,1.0,1.0,0.0
3ycwuyhpvmap3dmpbiade562e4nm264z,13.0,17.0,47.0,10.0,16.0,1.0,1.0,1.0
472alx3tosvsx3rby4ydwuh324f2cahm,0.0,28.0,12.0,7.0,11.0,1.0,1.0,0.0
4ijdxeechro2blhw7pffahpggngumnwm,7.0,4.0,24.0,3.0,9.0,1.0,1.0,2.0
