,python-version,libfabric-version,openblas-version,phist-version,cmake-version,mpich-version
22k22jzgv64fufd4oed4q5at3iv55yde,25.0,2.0,5.0,11.0,83.0,13.0
22kokvopgeo2vb3xmwfuxsrx4v4mqzao,27.0,1.0,18.0,11.0,53.0,5.0
24seaga52km6eod6dzaozi7o5br3sr4d,57.0,2.0,0.0,9.0,47.0,1.0
25wwnmsib55vg4eebiwz7lr73bfgahuq,25.0,0.0,0.0,10.0,69.0,12.0
2bp4kam5gfcr6otdq5e24qwaoxw6yf7v,49.0,0.0,17.0,8.0,27.0,14.0
2ebzz5gju2l3m75eqou53eyxs2gznhhw,28.0,2.0,11.0,7.0,61.0,0.0
2icfulttytae42l2mhgmjxq6rfsugma4,22.0,2.0,6.0,4.0,7.0,0.0
2lg3a6lgzga3k2dhai2jy4354zaieeik,20.0,2.0,8.0,10.0,30.0,3.0
2nz65oc2zqilpcxwy64peffcen3vl4bo,3.0,2.0,9.0,2.0,8.0,4.0
2oizka3445czu7sz6iyxkpq43tpvgdlx,61.0,0.0,18.0,10.0,55.0,8.0
2oq7ukuckbiuudl2r74b2pf6qxps4yru,48.0,2.0,5.0,10.0,37.0,3.0
2ryzgmqca6ejupzh5lsikpbr7omuhbvx,12.0,2.0,10.0,11.0,72.0,4.0
2sjb6vvvbmymbj3mce2hmxoep2xaneph,35.0,0.0,17.0,0.0,55.0,7.0
2vd46nhvxb7vlmnb7ea7xl7ddwo64xvx,46.0,0.0,14.0,7.0,7.0,7.0
2wcp3ult7drkktfw6at6xumgnfirwjfn,67.0,2.0,4.0,7.0,2.0,1.0
2y6hckn2lbjwux3lmfz23ukcgvfq2pqi,49.0,2.0,4.0,12.0,4.0,3.0
2yn5ujc5yh6oe6anfymhntntdslpnedz,62.0,0.0,7.0,0.0,51.0,8.0
2zvzcoeu2c4pc5vbtepnaxhvohfy2hvk,18.0,0.0,4.0,7.0,75.0,11.0
32oqv2ku5cuyjt6xsx6nkfjslbzk26z4,36.0,2.0,0.0,7.0,21.0,13.0
36ynuixm54cciqoidnvkiw3qy3nwc2ga,65.0,0.0,12.0,13.0,33.0,10.0
375jhz77saudc6wj4xmrpmc2ji5ojots,29.0,0.0,9.0,13.0,8.0,9.0
3abxmxz23vlak7txs4fc7dyxxlbhve64,41.0,0.0,19.0,7.0,64.0,12.0
3djb44sxuu5cklv6mzgb5nkz3torpwjf,35.0,2.0,11.0,12.0,33.0,13.0
3ffk6vjvt7xokkyj7ea65tqd23mjdjni,25.0,2.0,19.0,3.0,23.0,3.0
3hen4yuc5zijm6v76gc3mhmwvtqk32hh,17.0,2.0,11.0,2.0,21.0,0.0
3jr4uksoucbjgv7t2ytatf5ru4te2ei3,53.0,0.0,15.0,0.0,37.0,12.0
3khpqrkwj4r2f2eeyclcivfmwaaeo74l,3.0,2.0,2.0,0.0,36.0,2.0
3ngqjbwor2xe7gmv5lngpgb6if6xsxsm,49.0,0.0,15.0,10.0,20.0,14.0
3qvhkjzpex6k3pgoic2hzcphqvwegokf,47.0,2.0,8.0,12.0,30.0,0.0
3ucwfecul3fb5lradi65fqdj7g7xsxwo,31.0,0.0,21.0,2.0,32.0,11.0
3wxi5a2frjyjurl475uzf7sule4hcsno,15.0,1.0,6.0,9.0,77.0,6.0
3ynmyofeb6kezcze33napmsni3knuaou,64.0,0.0,2.0,6.0,59.0,7.0
3z6tmv23qm4kik67gdzkdygk3ljgak34,39.0,2.0,8.0,8.0,20.0,3.0
3zzsot7nob2bu7mu4iwtnys6ndout7gb,38.0,0.0,6.0,13.0,54.0,10.0
42ne5o7eghdu4ryitu3yaslns5llwqwt,69.0,0.0,21.0,0.0,0.0,9.0
44p74mzkbafkuar2w42ndiheg2wdqqsd,33.0,2.0,15.0,1.0,11.0,3.0
45bu6at6pzp4nnmtcb3dlvucq4la5npt,41.0,2.0,16.0,16.0,64.0,13.0
46wygwjksifvfefoypojafaibkyqzbt4,37.0,2.0,11.0,2.0,80.0,4.0
472phk7tk363zhdf77vrby46q57vlest,56.0,2.0,6.0,10.0,48.0,2.0
4dakfry2yerbg3j4vl5rsklt7krijpig,61.0,2.0,14.0,13.0,17.0,4.0
4jbihoqczdmx5il6mjy7iiksqptprybs,29.0,0.0,16.0,13.0,60.0,10.0
4meaou6pwlru7vyv4qp4nr5tmfyjlevy,14.0,0.0,1.0,6.0,59.0,11.0
4mkrdvx34icr3mbc6t7vwj5mx6ehx6rz,30.0,2.0,7.0,12.0,29.0,1.0
4nt4tvd5k3tutcqohdmmn752cyvhu5rd,62.0,2.0,12.0,10.0,74.0,0.0
4o5dlylcyiccaxdvbmutjgvdepelbpqy,12.0,0.0,7.0,13.0,57.0,8.0
4poaghagzhcprqubpyelqtyeof5imce3,56.0,0.0,1.0,9.0,32.0,12.0
4vjvjjulpiaqq3fariltc7cvgszfmewm,11.0,0.0,7.0,2.0,25.0,9.0
4w2s4o36b7nv5gbctd4xxwmwwmvcekcb,6.0,0.0,17.0,1.0,66.0,9.0
4wsxodpyf6fxrp3iwg2p2ctipb3mmc57,7.0,2.0,10.0,10.0,10.0,2.0
4ziyrpncgj2mustqrm2mzia4af46kkaa,38.0,0.0,9.0,7.0,20.0,7.0
4zxn4n4ibzbvgjygr2itz45dcwtkrihi,45.0,0.0,2.0,5.0,8.0,11.0
53w7662vgomoxox7uytfoj2oic3uzlno,0.0,0.0,15.0,10.0,18.0,7.0
5hkugitwzdctxgkvm2gf7ld67lm47ls3,67.0,1.0,14.0,0.0,22.0,6.0
5ixqvv5k3injadpjhyoomxp3yo3z2kzx,11.0,2.0,11.0,3.0,27.0,1.0
5jqvm62npohywjxunkobvz5ztwbnnhch,32.0,0.0,11.0,10.0,38.0,9.0
5lqattlb7wmo7lrhln6cvqz4jg5k6va6,10.0,2.0,21.0,11.0,28.0,4.0
5mc3jpgajt3zyihqphxngrnsp6235gz7,3.0,0.0,0.0,12.0,4.0,10.0
5mgxhcvj7e2gixyv4bylzri4mqesapfr,26.0,1.0,12.0,9.0,76.0,6.0
5oatm46ezfjibtwx3jmjvvjgdtpyuh4c,20.0,1.0,12.0,11.0,5.0,6.0
5q7vswqqyuyjmkfi3vl5r5mb4ttcildk,65.0,0.0,3.0,13.0,83.0,7.0
5sq2odwf6qpz6nwv33lcwysag42f3sfe,35.0,0.0,12.0,12.0,66.0,12.0
5wqqk6tqixyvx4dnhmincqxopnxihwmw,59.0,1.0,13.0,12.0,52.0,5.0
5x5k4kzlfugjxgz32bvpwtpx3hyvka57,23.0,2.0,7.0,8.0,27.0,1.0
65e2wtwqmoqjfdx5fyogjly5uu5nyvjd,9.0,0.0,16.0,4.0,81.0,7.0
6a6c5rw7xf2q6yls6pjte4kojvfbadmi,52.0,2.0,19.0,13.0,28.0,4.0
6fwip3oyeadcy2y5ffbo4y7e455pa3fy,15.0,2.0,20.0,4.0,12.0,13.0
6ke4silbioq7kgov465yuj24zixbz3fw,48.0,2.0,1.0,5.0,71.0,1.0
6ncrixlvwzqx3b3eav4pmfvgijmigd7a,20.0,2.0,19.0,5.0,17.0,3.0
6nyc3b2d43waaqagx23bfw4ftanggwqs,11.0,1.0,20.0,13.0,59.0,5.0
6oy5yrpn6hfezpnv5wmp43edpellsu5c,17.0,0.0,6.0,13.0,71.0,12.0
6r7aye65difrbftuzgqcgg37iljj3o42,14.0,0.0,17.0,13.0,70.0,14.0
