,plasma-version,cmake-version,openblas-version
24rzp3zy745j4vgm7dcv5yu52laotpgx,20.9.20,3.19.0,0.3.4
2ef6dg4dnttvhbqwuke3qdsjb4ty742i,21.8.29,3.17.5,0.3.14
2jctcevef7lxdaslrce3kfbk423ylvrp,18.11.1,3.19.1,0.3.16
2mz5a44fciop4mdga7mefk2aqmnvackq,17.1,3.17.5,0.3.18
2qcvlyvj4gxcdtruacf4d4qv5utfei72,21.8.29,3.15.3,0.3.9
2r2bi5dk733rb3bx6p7vv2jspzqt3qgz,17.1,3.9.6,0.3.14
2ruxkgkis7ps72sjo5etfdqdt2zgfxjp,21.8.29,3.19.5,0.3.8
2sfx6ffazj6m427igga4rmlhlimpwnie,21.8.29,3.12.0,0.3.12
2xeujpa3gwb3oibvldxxe5qijrh52yha,19.8.1,3.14.5,0.2.15
2yf2lncovrwmymzuuqpjsuejaglbuatg,20.9.20,3.18.4,0.3.18
2zulco3huq3ccmo25xcvymrxwqtdvmcm,18.11.1,3.12.0,0.3.10
32hkwhoxsiwy63nl2r2cjzv6mxxbzdas,20.9.20,3.11.0,0.3.18
37enuv6jn3zix2sc76mllpql7d4pk44p,18.11.1,3.18.0,0.3.14
3bu2r5xvyyr27qgdu45zp76nz5sfbtcv,19.8.1,3.16.6,0.3.13
3gbxroczrfmxv4uzlo2o3agq7wwqw5v2,17.1,3.19.3,0.3.17
3gzq24trf6ffcpxyl374a5w4hxsrprhq,17.1,3.19.0,0.2.17
3mz2ntfqkm665c2zk43tsvr5eoy4brza,18.11.1,3.17.1,0.3.8
3nyxukztln7fmmvj3xiapowxxfcsp64x,18.11.1,3.20.0,0.3.16
3pso5duoyix3zqivlrfyiview2mvphi2,18.11.1,3.9.0,0.2.20
3s47nsk2mj3edfikxkmmeg5pnb3nqdps,21.8.29,3.19.7,0.3.6
3szm265plo6s4f5vwykbediyxf4tu5nt,18.11.1,3.20.1,0.2.17
3zvvuwzzbkmy5te4viqk4cdljjhrnsef,19.8.1,3.12.1,0.3.10
422q473daka4qtabgviqym2tp4gv4yge,21.8.29,3.14.5,0.3.12
427oglwkxu5vwqi6bpah45umsynr5jf2,21.8.29,3.12.4,0.3.16
43pql6hdkmezsriz6dqsqmv36hs4rt7m,20.9.20,3.20.3,0.2.17
