,libfabric-version,pumi-version,cmake-version,mpich-version
22dptqcdsktmcp7xseumgu53rphpjgei,2.0,2.0,60.0,14.0
22rkh2xiwy4gwkabt5b3l5376whvonjo,2.0,5.0,47.0,4.0
236scndh774e76enuph7hforvjahtkgu,2.0,4.0,47.0,0.0
23ngarzacstz3eizjgr4fmc2dacaecz5,1.0,4.0,1.0,6.0
24cfdrhtqmbopufzs56h5paqd25w2e5l,0.0,0.0,19.0,10.0
24eomrz6zgsie6ypibgp7nyvme35auvx,2.0,8.0,69.0,1.0
24nkwmuxinmzia2o3zkjoin2wiyj5zfa,0.0,6.0,77.0,8.0
264qbmxardgfphmygtaedjsrv2cat7sz,0.0,8.0,42.0,8.0
27ibe5wjz3e5zoz6i26kmyu5un2ikajk,0.0,5.0,86.0,11.0
2e7aki3cektlzlsqoftfwwpuddmrjx3k,0.0,8.0,4.0,10.0
2fc3tpoqdwptnczztqjm6xn5tzlbpmx6,0.0,7.0,83.0,9.0
2i3ra4dari6lw2tux2oa3nhz4jwgrvsm,0.0,2.0,40.0,11.0
2iknyboezkbl7r4ra5icaneptee2udzp,2.0,0.0,60.0,3.0
2jedytzbr62r35eusgpalwg7l6xlrjdq,0.0,7.0,94.0,11.0
2l5wcgf3eajwxslmgndmww3dxp2tdtys,2.0,7.0,26.0,5.0
2m55enkqjh4rsyk5mmeqcg23dez6ewxh,2.0,0.0,16.0,2.0
2maowdeeddxnt4lqjpc23nqtbkpgeiv6,2.0,7.0,97.0,1.0
2naiczr5uh4mxkandc6mv4jcanegmyqx,0.0,7.0,93.0,12.0
2qfqczdfa6rs4nhozw6lpgpaz3oeejsh,2.0,5.0,27.0,0.0
2sorfyfsrm4mslkopxwt5p22q5ju3nbc,2.0,7.0,31.0,4.0
2tgwwc6fgpczhv566qyhy6zzeeemeo6q,2.0,3.0,54.0,1.0
2tsk7dkfmaatsjaxglxj2pzp7rk6zcez,0.0,7.0,30.0,13.0
2umquip65x2ikuijknm5j77dzx75p3po,2.0,1.0,93.0,3.0
2vexs2f5y2xpg3tqnyzta4cqwb6gnyyw,0.0,1.0,38.0,8.0
2vgxxqwhn52hgqfaevraz65acgj3jry6,0.0,7.0,44.0,8.0
2xmxu7xy6iu4g76fnhzbj5shdjn2az5f,2.0,2.0,29.0,14.0
322n5fguu2quw3i3gttg2eliy4ywe4p2,2.0,4.0,8.0,2.0
33qycydlzdcxei5ukt5uz74nde34epjc,0.0,1.0,54.0,10.0
33qymqbczrqzmxd453sw355yrbmrq4jz,2.0,7.0,55.0,1.0
34lr2qhfng4nm633lyqlpketbofxhshc,1.0,7.0,51.0,7.0
357s2uislfoogd7fumlrjeyrvbbpadze,0.0,3.0,64.0,13.0
35fpxtc6yq46zp3taoyvz27mcnhltimw,2.0,2.0,20.0,0.0
35ftwy7lujaowyct65da6gjrqrmkehpz,2.0,6.0,66.0,0.0
35p7qaiiojc47jpdzl77a5qmgvnxbvkw,0.0,8.0,24.0,10.0
35rxeqhq7qo7rdardrjwcklhg4tmjz5n,0.0,4.0,6.0,13.0
363za5v6y5hjqq5qikg43iv6lhfvcdf2,2.0,2.0,91.0,0.0
36bxdm5mkcfam3oobrxgefjjcwvjxmo2,2.0,8.0,21.0,2.0
3a2gvsxnklhe7ndgpxgn27umtyctfwhf,1.0,4.0,68.0,7.0
3anexjl7kkx7c5co67foewe5pu4xqyw5,2.0,3.0,78.0,4.0
3cosd4zqeht3e6euw2t6ziedhsaoazsl,0.0,5.0,72.0,8.0
3cuqdjbnv5umcnr2yrggrfe3kdpdjuww,2.0,2.0,4.0,3.0
3dp6jk7ob7hbwediifiu6lr5ymldtiba,1.0,2.0,64.0,7.0
3eewelycwpi25s6tghn7tasg75h4mrh7,2.0,3.0,86.0,2.0
3flxchx7m3dz2o7f27hdgv77e3jndmy3,2.0,0.0,21.0,14.0
3gmpujgovubauihrzjkyp64rcy3upzd2,2.0,6.0,23.0,2.0
3h3pwnejrpoymfogdwk44mzxqkrncjtr,2.0,7.0,92.0,3.0
3hbo7a33bkfwz54rrxvwocrfzfy2jp5d,2.0,2.0,3.0,4.0
3is7lk7vazcl4fvmhyb4qyjskw3ttcq4,0.0,7.0,96.0,10.0
3jg32ne7ah5hmz3u5enjjuhbbtt2v2w2,0.0,6.0,32.0,15.0
3ndl5eez3vh5bswp7mrmhmqb5jjm26w7,2.0,7.0,2.0,0.0
3nfaxuzbcvyx4qbmgxjvdlbaqfaiytq7,2.0,8.0,39.0,1.0
3o6246h3e5jzak7v5rsapgmzf3hyznl7,0.0,7.0,50.0,11.0
3pp6nuipvb3pbgv6qbkf56f2ifwnxego,0.0,8.0,95.0,15.0
3qu64zirtn2r63dvoowjos7sx7xojlrp,2.0,6.0,12.0,0.0
3quuzcbqj5lpxmyvy3jta2zoeg2jh5sc,0.0,1.0,73.0,8.0
3srh35ufzojnpmicdm6tphfv766nsglu,0.0,7.0,79.0,9.0
