,slate-version,lapackpp-version,netlib-scalapack-version,blaspp-version,libfabric-version,mpich-version
2jg3voszpgwkbsrxylia4esh5nvcmao5,1.0,2.0,1.0,2.0,2.0,2.0
3beedlrou5z36agfkfjaxzscaawretlb,1.0,1.0,0.0,1.0,0.0,13.0
3cv6muqmdwkfneao4qyz62nw4wpcvzq4,1.0,1.0,1.0,2.0,2.0,14.0
3wirffu5kbsdzruznv5danmuxwaatoyk,1.0,1.0,0.0,2.0,0.0,10.0
446iwolrvxqzrft25oktwqoomlfwqajq,3.0,2.0,1.0,2.0,1.0,7.0
4notjsxiwqps4hr6vtf2lepxz54tjo4h,2.0,1.0,1.0,1.0,0.0,8.0
5hnqoknpwqd7tr24noipukxdu6epvwie,0.0,0.0,0.0,0.0,0.0,15.0
64uutkieanrtcuyq4dg2mf2ndkirl4m4,1.0,1.0,0.0,1.0,2.0,1.0
64yxcj2ogqrsy4l2w6ithekcebb6mcwf,0.0,0.0,0.0,0.0,2.0,4.0
6lk3bqgauuwszlkomllyrz4x2rvbi7u2,2.0,1.0,1.0,2.0,2.0,0.0
6uqbybuzdxh5cy27bbmhhe53vjmp5yzc,2.0,1.0,1.0,1.0,2.0,14.0
6vddldqaf5sn6s7d2pph2d7orkpazacl,2.0,1.0,1.0,1.0,0.0,11.0
7nirosarccbvmpyw2beonugiv4sxtlyb,2.0,1.0,0.0,2.0,2.0,1.0
andru5s5mw4zdirj7h3oa5xqpwutgxa6,0.0,0.0,1.0,0.0,0.0,12.0
aozyr36r5cugfu7mwka5xjtvh56azdaq,2.0,2.0,1.0,2.0,2.0,3.0
b3zfpry2ha3426trildi4wxiivmdcqdm,0.0,0.0,0.0,0.0,2.0,0.0
b72gukwpjzxlmvwqg2if5ebfkedr4jvt,2.0,2.0,1.0,2.0,0.0,11.0
b7ukcodrjvd4acusgca25bm3x22st7ui,2.0,2.0,1.0,2.0,1.0,6.0
bcrow2iqfrjwx6lq7vm4vipz2g27rel6,3.0,2.0,1.0,2.0,0.0,8.0
bolx7d3fxkrsxiegvzzbu26icwtwtuqe,2.0,2.0,1.0,2.0,0.0,15.0
bpjoulnu3pe4wla4s3lkjgmz3v27ahnu,1.0,1.0,0.0,1.0,0.0,15.0
bpqvaxgbknfqgpniiitwi3vnlp2m2zxm,0.0,0.0,1.0,0.0,0.0,11.0
btigos3wd3sk72bovmn2datrqshdbtdn,0.0,0.0,1.0,0.0,0.0,8.0
c5qbgjyvaxpdraawmzs6dw3j2xivsgsm,2.0,1.0,0.0,1.0,2.0,4.0
c7h6hiw4y46rjpajor4ngrtq33dcyhfl,2.0,2.0,0.0,2.0,2.0,4.0
cpkvu7fjdvgamkbpevbrzs74zqekhwoj,2.0,1.0,0.0,1.0,1.0,7.0
cudtjkswshi4sviu7j65vmtspyzhicji,1.0,1.0,1.0,1.0,2.0,14.0
cxtjanzckfxfjxoh6ad6tuykell7tace,1.0,1.0,1.0,2.0,2.0,0.0
ddgjififvhopzgysws3am56ic3movj4p,2.0,1.0,1.0,2.0,1.0,6.0
e3huq5gnlb32vqseftnwx4edryzfvhvk,1.0,2.0,1.0,2.0,2.0,1.0
ebrlpy6b7sqkssff65qtfgyyd74dkpg6,2.0,1.0,1.0,2.0,2.0,3.0
ek34nho3hxfsmzej44e772f4jc7wkeve,1.0,1.0,0.0,1.0,1.0,7.0
emnvztg2cxyncuhgzyj4vyo6a64j5i6x,1.0,1.0,1.0,1.0,2.0,1.0
evhoq3l3porw6r3okfj22ceynuu2zvo4,1.0,2.0,1.0,2.0,0.0,13.0
fgpz7eyxkmw65ogjgssgwpfcffg4wymk,3.0,2.0,1.0,2.0,2.0,1.0
gwajvjhz3vmumvgcwathr5d35ppyr53e,0.0,0.0,1.0,0.0,2.0,5.0
hz2p3ruduclyq3do6po6gdji6m3mzovh,1.0,2.0,1.0,2.0,2.0,0.0
i4ncmvgiymebjrqudti3mlnarkls6fql,3.0,2.0,1.0,2.0,0.0,13.0
ibajtpymuu3m2o3ycm2zxi2qbvon7og7,2.0,1.0,0.0,2.0,1.0,6.0
ierqolkexjahbczlfw4axn66mywaetbw,2.0,1.0,0.0,2.0,2.0,2.0
iqiq26hqszzehi77m377rdn2eqneh4ks,2.0,1.0,1.0,2.0,2.0,1.0
jni4ejxjjpacutkjivp4vxmlzxw25yuv,1.0,2.0,1.0,2.0,0.0,12.0
jxxnpah4wwkhbk32hnggr5wzoszccrb5,3.0,2.0,1.0,2.0,2.0,0.0
lmf3jh7j752fesxmniy4plmqlm2mmq2h,3.0,2.0,0.0,2.0,2.0,0.0
m4oqjxs7fdafi3eyk5t74ve6w2trhkdj,3.0,2.0,1.0,2.0,0.0,15.0
mzsi7g5zknioerj6rjydfvqlocax43kw,2.0,1.0,1.0,1.0,0.0,10.0
n3b5vtejhd3lbftpehrcwzyf5e7g5cmj,2.0,1.0,1.0,1.0,2.0,0.0
nigrtve7p4ufjg57fqtsybeh2zbiywfp,3.0,2.0,0.0,2.0,0.0,12.0
nl65tp2pmltltq4zty6scpyjcxd6f77m,2.0,1.0,0.0,1.0,0.0,10.0
o3n5zpoq6smpngcju2bnwpfpbtq2nlhk,2.0,1.0,1.0,1.0,2.0,1.0
o7bxfeqy6tpldjju54nmszsawozufuab,1.0,1.0,1.0,2.0,0.0,10.0
ofufadltain5vdgk3dhnt6lsqo2nhpj6,2.0,1.0,1.0,2.0,2.0,2.0
ojsad5ej6xhyzrqxamq6i7dr5bswhejm,2.0,1.0,1.0,1.0,1.0,6.0
osk3ybd5s6v57crwvd2enzpurrstfxbr,0.0,0.0,1.0,0.0,2.0,0.0
oubke77sxkg3my2rulitasaqskp5pl4c,2.0,1.0,1.0,1.0,0.0,13.0
oysftya5w5uatewrp3lhyvbir2q46oug,2.0,2.0,1.0,2.0,0.0,8.0
p7jginfbec63ugzvqqo5fzulup73lviz,1.0,2.0,0.0,2.0,0.0,12.0
pfqlin7qiyyjnozd67d3r2eyqg5qd6lt,2.0,2.0,0.0,2.0,2.0,3.0
phkqmay7rr2ppwgvxoppvku3iir4mxsp,0.0,0.0,1.0,0.0,2.0,14.0
pi6l4vpficcn354aas2imva52uxkcafi,1.0,1.0,1.0,1.0,2.0,0.0
plnfteijy4sfiejwts6ra6jig2uivk6j,1.0,1.0,1.0,1.0,0.0,9.0
pmkivlomwb3kzbvslbxmeajphjwjg7yq,0.0,0.0,0.0,0.0,2.0,2.0
pqx55lyskdlvcwqg7xhihymlqii5dvht,3.0,2.0,1.0,2.0,2.0,2.0
pvpyl57j2oonmhqhxm7u2ncb7id5raam,0.0,0.0,1.0,0.0,1.0,6.0
qoxlrrk5gseogod6ixqggokyyqv44boa,2.0,1.0,1.0,2.0,1.0,7.0
r34wk4ed7ruvz4ym3j6r4br432sm3pfq,0.0,0.0,1.0,0.0,2.0,1.0
r5s7vt267lbnw2nql6szgcdxmuvtbv2z,2.0,1.0,1.0,2.0,0.0,13.0
rhcquno5h6sdsmfmzm5l3naihg7zjr6n,2.0,1.0,0.0,1.0,0.0,11.0
rhiaqq5q3tsmaiqnxkjoed7vayfqeasy,0.0,0.0,1.0,0.0,0.0,10.0
rrou4biavduoywa7gdn4puhgmuypb4uq,3.0,2.0,0.0,2.0,0.0,10.0
s2uiuyrkaymzgvamy23fj7wsg3uswbs5,1.0,2.0,1.0,2.0,2.0,14.0
sdwai2qufi6x2mimzwzqr2frh5o753os,0.0,0.0,1.0,0.0,2.0,3.0
srm63mmg4fx2jwwqgme3ecisvp7ybvz4,2.0,1.0,1.0,1.0,2.0,3.0
uk4dnd2yn3b777hnuufmifcctxsy3bpe,1.0,1.0,1.0,1.0,0.0,15.0
velvx66j3claqynzqzx4waa5si6mve3k,3.0,2.0,0.0,2.0,2.0,3.0
vkqwrzsp45lfk67lu64yk7h7e5gqdqre,2.0,1.0,0.0,1.0,2.0,3.0
voni5o5qpcrwo3c5y2j7sztjfghvvsli,1.0,1.0,1.0,2.0,0.0,9.0
wcckvt5ba75tqs66kcytfxszh7cecae4,2.0,2.0,1.0,2.0,0.0,10.0
whf5gzlqctxdvmiifdj6q7xbcuejvq6k,2.0,1.0,0.0,1.0,0.0,13.0
wjkfaiskvtl7czcqnjdpziouktjtchr4,2.0,1.0,0.0,1.0,0.0,12.0
wjsmtqlnpscdgaqq3tt47kve6tw67wvj,0.0,0.0,0.0,0.0,2.0,1.0
wkd2egpkxxouxnq3x5h2w3m2ptzlvifq,2.0,1.0,1.0,1.0,0.0,12.0
wp3me7i3ezj4guqrplzohivxnf4rv4lm,2.0,1.0,1.0,1.0,1.0,7.0
x5uybo6ff3tsqzc3bzolwnq4532awvak,1.0,2.0,0.0,2.0,2.0,0.0
xfncrciz6luiodhdo3zmmuricn4ysaji,2.0,2.0,1.0,2.0,2.0,0.0
xjylefqzti6zmn6ccj56ppzoauc5f5mt,2.0,1.0,1.0,2.0,2.0,4.0
xyy6n4btsl6eo5t7lbrbkmkrr3kymqcp,1.0,1.0,1.0,1.0,1.0,6.0
xzuewk646csfxr657ee6fqgxdsizo5hw,1.0,2.0,1.0,2.0,0.0,15.0
y6kmsgcviqf32e3nwkfr5roevss7gfyl,2.0,2.0,1.0,2.0,0.0,12.0
yghgnf3cp4j3gauzddp4wm65mqaiyrl2,3.0,2.0,1.0,2.0,2.0,5.0
ys7igrptbcdtpjsfagswotj4xmzgqfu3,2.0,2.0,0.0,2.0,0.0,8.0
z3uoekx3jr5m5nnyp3jwmw737qorhsal,2.0,1.0,1.0,2.0,2.0,14.0
z7nxssvc2fktteme22y2memsekpm5yrl,0.0,0.0,0.0,0.0,0.0,9.0
z7ttnl7eo7fcjkk3yrx3tsq2xwcyctyg,3.0,2.0,0.0,2.0,2.0,1.0
zhqthseoczszdgywk3rmg4r4a73fy5m6,1.0,1.0,0.0,1.0,2.0,3.0
zulbxtw3bn5ov5w27ugmqn4l2mg7sdxw,2.0,2.0,1.0,2.0,2.0,4.0
zxfsrqbrxkwf3d7vs5vl3gpvm2snasqt,1.0,1.0,1.0,1.0,0.0,8.0
jloa6r7t4wv2c2q77q6nk3ppbyrorxr4,3.0,2.0,1.0,2.0,0.0,9.0
jvtg5w4g6devobdytqjdcawovtw6lq2k,0.0,0.0,1.0,0.0,1.0,7.0
