,slate-version,lapackpp-version,netlib-scalapack-version,blaspp-version,libfabric-version,mpich-version
2jg3voszpgwkbsrxylia4esh5nvcmao5,2021.05.01,master,2.1.0,master,absent,3.1.1
3beedlrou5z36agfkfjaxzscaawretlb,2021.05.01,2021.04.00,2.0.2,2021.04.01,1.14.0,3.4.2
3cv6muqmdwkfneao4qyz62nw4wpcvzq4,2021.05.01,2021.04.00,2.1.0,master,absent,absent
3wirffu5kbsdzruznv5danmuxwaatoyk,2021.05.01,2021.04.00,2.0.2,master,1.14.0,3.3.2
446iwolrvxqzrft25oktwqoomlfwqajq,master,master,2.1.0,master,1.6.2,3.2.1
4notjsxiwqps4hr6vtf2lepxz54tjo4h,2021.05.02,2021.04.00,2.1.0,2021.04.01,1.14.0,3.3
5hnqoknpwqd7tr24noipukxdu6epvwie,2020.10.00,2020.10.02,2.0.2,2020.10.02,1.14.0,develop
64uutkieanrtcuyq4dg2mf2ndkirl4m4,2021.05.01,2021.04.00,2.0.2,2021.04.01,absent,3.1
64yxcj2ogqrsy4l2w6ithekcebb6mcwf,2020.10.00,2020.10.02,2.0.2,2020.10.02,absent,3.1.3
6lk3bqgauuwszlkomllyrz4x2rvbi7u2,2021.05.02,2021.04.00,2.1.0,master,absent,3.0.4
6uqbybuzdxh5cy27bbmhhe53vjmp5yzc,2021.05.02,2021.04.00,2.1.0,2021.04.01,absent,absent
6vddldqaf5sn6s7d2pph2d7orkpazacl,2021.05.02,2021.04.00,2.1.0,2021.04.01,1.14.0,3.4
7nirosarccbvmpyw2beonugiv4sxtlyb,2021.05.02,2021.04.00,2.0.2,master,absent,3.1
andru5s5mw4zdirj7h3oa5xqpwutgxa6,2020.10.00,2020.10.02,2.1.0,2020.10.02,1.14.0,3.4.1
aozyr36r5cugfu7mwka5xjtvh56azdaq,2021.05.02,master,2.1.0,master,absent,3.1.2
b3zfpry2ha3426trildi4wxiivmdcqdm,2020.10.00,2020.10.02,2.0.2,2020.10.02,absent,3.0.4
b72gukwpjzxlmvwqg2if5ebfkedr4jvt,2021.05.02,master,2.1.0,master,1.14.0,3.4
b7ukcodrjvd4acusgca25bm3x22st7ui,2021.05.02,master,2.1.0,master,1.6.2,3.2
bcrow2iqfrjwx6lq7vm4vipz2g27rel6,master,master,2.1.0,master,1.14.0,3.3
bolx7d3fxkrsxiegvzzbu26icwtwtuqe,2021.05.02,master,2.1.0,master,1.14.0,develop
bpjoulnu3pe4wla4s3lkjgmz3v27ahnu,2021.05.01,2021.04.00,2.0.2,2021.04.01,1.14.0,develop
bpqvaxgbknfqgpniiitwi3vnlp2m2zxm,2020.10.00,2020.10.02,2.1.0,2020.10.02,1.14.0,3.4
btigos3wd3sk72bovmn2datrqshdbtdn,2020.10.00,2020.10.02,2.1.0,2020.10.02,1.14.0,3.3
c5qbgjyvaxpdraawmzs6dw3j2xivsgsm,2021.05.02,2021.04.00,2.0.2,2021.04.01,absent,3.1.3
c7h6hiw4y46rjpajor4ngrtq33dcyhfl,2021.05.02,master,2.0.2,master,absent,3.1.3
cpkvu7fjdvgamkbpevbrzs74zqekhwoj,2021.05.02,2021.04.00,2.0.2,2021.04.01,1.6.2,3.2.1
cudtjkswshi4sviu7j65vmtspyzhicji,2021.05.01,2021.04.00,2.1.0,2021.04.01,absent,absent
cxtjanzckfxfjxoh6ad6tuykell7tace,2021.05.01,2021.04.00,2.1.0,master,absent,3.0.4
ddgjififvhopzgysws3am56ic3movj4p,2021.05.02,2021.04.00,2.1.0,master,1.6.2,3.2
e3huq5gnlb32vqseftnwx4edryzfvhvk,2021.05.01,master,2.1.0,master,absent,3.1
ebrlpy6b7sqkssff65qtfgyyd74dkpg6,2021.05.02,2021.04.00,2.1.0,master,absent,3.1.2
ek34nho3hxfsmzej44e772f4jc7wkeve,2021.05.01,2021.04.00,2.0.2,2021.04.01,1.6.2,3.2.1
emnvztg2cxyncuhgzyj4vyo6a64j5i6x,2021.05.01,2021.04.00,2.1.0,2021.04.01,absent,3.1
evhoq3l3porw6r3okfj22ceynuu2zvo4,2021.05.01,master,2.1.0,master,1.14.0,3.4.2
fgpz7eyxkmw65ogjgssgwpfcffg4wymk,master,master,2.1.0,master,absent,3.1
gwajvjhz3vmumvgcwathr5d35ppyr53e,2020.10.00,2020.10.02,2.1.0,2020.10.02,absent,3.1.4
hz2p3ruduclyq3do6po6gdji6m3mzovh,2021.05.01,master,2.1.0,master,absent,3.0.4
i4ncmvgiymebjrqudti3mlnarkls6fql,master,master,2.1.0,master,1.14.0,3.4.2
ibajtpymuu3m2o3ycm2zxi2qbvon7og7,2021.05.02,2021.04.00,2.0.2,master,1.6.2,3.2
ierqolkexjahbczlfw4axn66mywaetbw,2021.05.02,2021.04.00,2.0.2,master,absent,3.1.1
iqiq26hqszzehi77m377rdn2eqneh4ks,2021.05.02,2021.04.00,2.1.0,master,absent,3.1
jni4ejxjjpacutkjivp4vxmlzxw25yuv,2021.05.01,master,2.1.0,master,1.14.0,3.4.1
jxxnpah4wwkhbk32hnggr5wzoszccrb5,master,master,2.1.0,master,absent,3.0.4
lmf3jh7j752fesxmniy4plmqlm2mmq2h,master,master,2.0.2,master,absent,3.0.4
m4oqjxs7fdafi3eyk5t74ve6w2trhkdj,master,master,2.1.0,master,1.14.0,develop
mzsi7g5zknioerj6rjydfvqlocax43kw,2021.05.02,2021.04.00,2.1.0,2021.04.01,1.14.0,3.3.2
n3b5vtejhd3lbftpehrcwzyf5e7g5cmj,2021.05.02,2021.04.00,2.1.0,2021.04.01,absent,3.0.4
nigrtve7p4ufjg57fqtsybeh2zbiywfp,master,master,2.0.2,master,1.14.0,3.4.1
nl65tp2pmltltq4zty6scpyjcxd6f77m,2021.05.02,2021.04.00,2.0.2,2021.04.01,1.14.0,3.3.2
o3n5zpoq6smpngcju2bnwpfpbtq2nlhk,2021.05.02,2021.04.00,2.1.0,2021.04.01,absent,3.1
o7bxfeqy6tpldjju54nmszsawozufuab,2021.05.01,2021.04.00,2.1.0,master,1.14.0,3.3.2
ofufadltain5vdgk3dhnt6lsqo2nhpj6,2021.05.02,2021.04.00,2.1.0,master,absent,3.1.1
ojsad5ej6xhyzrqxamq6i7dr5bswhejm,2021.05.02,2021.04.00,2.1.0,2021.04.01,1.6.2,3.2
osk3ybd5s6v57crwvd2enzpurrstfxbr,2020.10.00,2020.10.02,2.1.0,2020.10.02,absent,3.0.4
oubke77sxkg3my2rulitasaqskp5pl4c,2021.05.02,2021.04.00,2.1.0,2021.04.01,1.14.0,3.4.2
oysftya5w5uatewrp3lhyvbir2q46oug,2021.05.02,master,2.1.0,master,1.14.0,3.3
p7jginfbec63ugzvqqo5fzulup73lviz,2021.05.01,master,2.0.2,master,1.14.0,3.4.1
pfqlin7qiyyjnozd67d3r2eyqg5qd6lt,2021.05.02,master,2.0.2,master,absent,3.1.2
phkqmay7rr2ppwgvxoppvku3iir4mxsp,2020.10.00,2020.10.02,2.1.0,2020.10.02,absent,absent
pi6l4vpficcn354aas2imva52uxkcafi,2021.05.01,2021.04.00,2.1.0,2021.04.01,absent,3.0.4
plnfteijy4sfiejwts6ra6jig2uivk6j,2021.05.01,2021.04.00,2.1.0,2021.04.01,1.14.0,3.3.1
pmkivlomwb3kzbvslbxmeajphjwjg7yq,2020.10.00,2020.10.02,2.0.2,2020.10.02,absent,3.1.1
pqx55lyskdlvcwqg7xhihymlqii5dvht,master,master,2.1.0,master,absent,3.1.1
pvpyl57j2oonmhqhxm7u2ncb7id5raam,2020.10.00,2020.10.02,2.1.0,2020.10.02,1.6.2,3.2
qoxlrrk5gseogod6ixqggokyyqv44boa,2021.05.02,2021.04.00,2.1.0,master,1.6.2,3.2.1
r34wk4ed7ruvz4ym3j6r4br432sm3pfq,2020.10.00,2020.10.02,2.1.0,2020.10.02,absent,3.1
r5s7vt267lbnw2nql6szgcdxmuvtbv2z,2021.05.02,2021.04.00,2.1.0,master,1.14.0,3.4.2
rhcquno5h6sdsmfmzm5l3naihg7zjr6n,2021.05.02,2021.04.00,2.0.2,2021.04.01,1.14.0,3.4
rhiaqq5q3tsmaiqnxkjoed7vayfqeasy,2020.10.00,2020.10.02,2.1.0,2020.10.02,1.14.0,3.3.2
rrou4biavduoywa7gdn4puhgmuypb4uq,master,master,2.0.2,master,1.14.0,3.3.2
s2uiuyrkaymzgvamy23fj7wsg3uswbs5,2021.05.01,master,2.1.0,master,absent,absent
sdwai2qufi6x2mimzwzqr2frh5o753os,2020.10.00,2020.10.02,2.1.0,2020.10.02,absent,3.1.2
srm63mmg4fx2jwwqgme3ecisvp7ybvz4,2021.05.02,2021.04.00,2.1.0,2021.04.01,absent,3.1.2
uk4dnd2yn3b777hnuufmifcctxsy3bpe,2021.05.01,2021.04.00,2.1.0,2021.04.01,1.14.0,develop
velvx66j3claqynzqzx4waa5si6mve3k,master,master,2.0.2,master,absent,3.1.2
vkqwrzsp45lfk67lu64yk7h7e5gqdqre,2021.05.02,2021.04.00,2.0.2,2021.04.01,absent,3.1.2
voni5o5qpcrwo3c5y2j7sztjfghvvsli,2021.05.01,2021.04.00,2.1.0,master,1.14.0,3.3.1
wcckvt5ba75tqs66kcytfxszh7cecae4,2021.05.02,master,2.1.0,master,1.14.0,3.3.2
whf5gzlqctxdvmiifdj6q7xbcuejvq6k,2021.05.02,2021.04.00,2.0.2,2021.04.01,1.14.0,3.4.2
wjkfaiskvtl7czcqnjdpziouktjtchr4,2021.05.02,2021.04.00,2.0.2,2021.04.01,1.14.0,3.4.1
wjsmtqlnpscdgaqq3tt47kve6tw67wvj,2020.10.00,2020.10.02,2.0.2,2020.10.02,absent,3.1
wkd2egpkxxouxnq3x5h2w3m2ptzlvifq,2021.05.02,2021.04.00,2.1.0,2021.04.01,1.14.0,3.4.1
wp3me7i3ezj4guqrplzohivxnf4rv4lm,2021.05.02,2021.04.00,2.1.0,2021.04.01,1.6.2,3.2.1
x5uybo6ff3tsqzc3bzolwnq4532awvak,2021.05.01,master,2.0.2,master,absent,3.0.4
xfncrciz6luiodhdo3zmmuricn4ysaji,2021.05.02,master,2.1.0,master,absent,3.0.4
xjylefqzti6zmn6ccj56ppzoauc5f5mt,2021.05.02,2021.04.00,2.1.0,master,absent,3.1.3
xyy6n4btsl6eo5t7lbrbkmkrr3kymqcp,2021.05.01,2021.04.00,2.1.0,2021.04.01,1.6.2,3.2
xzuewk646csfxr657ee6fqgxdsizo5hw,2021.05.01,master,2.1.0,master,1.14.0,develop
y6kmsgcviqf32e3nwkfr5roevss7gfyl,2021.05.02,master,2.1.0,master,1.14.0,3.4.1
yghgnf3cp4j3gauzddp4wm65mqaiyrl2,master,master,2.1.0,master,absent,3.1.4
ys7igrptbcdtpjsfagswotj4xmzgqfu3,2021.05.02,master,2.0.2,master,1.14.0,3.3
z3uoekx3jr5m5nnyp3jwmw737qorhsal,2021.05.02,2021.04.00,2.1.0,master,absent,absent
z7nxssvc2fktteme22y2memsekpm5yrl,2020.10.00,2020.10.02,2.0.2,2020.10.02,1.14.0,3.3.1
z7ttnl7eo7fcjkk3yrx3tsq2xwcyctyg,master,master,2.0.2,master,absent,3.1
zhqthseoczszdgywk3rmg4r4a73fy5m6,2021.05.01,2021.04.00,2.0.2,2021.04.01,absent,3.1.2
zulbxtw3bn5ov5w27ugmqn4l2mg7sdxw,2021.05.02,master,2.1.0,master,absent,3.1.3
zxfsrqbrxkwf3d7vs5vl3gpvm2snasqt,2021.05.01,2021.04.00,2.1.0,2021.04.01,1.14.0,3.3
jloa6r7t4wv2c2q77q6nk3ppbyrorxr4,master,master,2.1.0,master,1.14.0,3.3.1
jvtg5w4g6devobdytqjdcawovtw6lq2k,2020.10.00,2020.10.02,2.1.0,2020.10.02,1.6.2,3.2.1
