,superlu-dist-version,parmetis-version,libfabric-version,openblas-version,cmake-version,mpich-version
3trsgu7azj4vi3zzgkwjdlzr3r5bjovy,5.0.0,4.0.2,1.6.2,0.2.18,3.15.2,3.2.1
4bu36tftt5m7wx5mjx2d5e6xt5pahuji,5.4.0,4.0.3,absent,0.2.18,3.14.4,3.1
4uxpm7dbxkahnonp5ioklufyit3a4skj,6.1.0,4.0.3,1.14.0,0.3.12,master,3.4.2
54pp7pfjcfyj3wz62tlpe7zwiccxtdat,5.3.0,4.0.3,1.14.0,0.3.16,3.10.3,3.3.1
5akelxb3hm3wboazkhlgkq2mpyntm4bw,5.1.2,4.0.3,absent,develop,3.19.3,3.0.4
5qs6qfx54leupprhq76o57zs65lpj6ef,6.1.1,4.0.2,absent,0.3.4,3.6.0,3.1.2
6dabpvmkh4fm6vgdtgprkjo3u5ll266p,6.2.0,4.0.3,absent,0.3.5,3.15.4,3.1.3
73mtgo7j4se4zdgaa2rsr4yip32kukhg,6.4.0,4.0.3,absent,0.2.20,3.15.0,3.0.4
77aaq7o2maribtx4lxsyuic6lvv7oh6a,5.1.3,4.0.3,1.14.0,0.3.5,3.14.4,3.4
agqhkw4okse7cwv3xwrhjw6evp3o3uf3,6.1.1,4.0.3,1.14.0,0.3.15,3.20.2,3.4.2
ewjvbxcrb5t2nsj5cl33sh2bizgibuxg,5.1.3,4.0.3,1.14.0,0.3.11,3.16.8,3.3.1
fz6li5uof6c2ehbwmkcj6tl2dfh3chwi,5.1.0,4.0.3,absent,0.2.16,3.0.2,3.1.3
fzd3qk3bezqcnis6vdlelryvabe7qmmh,5.1.3,4.0.2,absent,0.3.11,3.11.4,3.0.4
gvtja4zrljytfav6icdvpnfwwzdshuq6,7.1.0,4.0.3,1.14.0,0.3.12,3.18.4,3.4.2
gvyogdejzrdepaz547y7vaflx5c54dwf,6.4.0,4.0.3,1.14.0,0.3.4,3.16.9,3.3
h62erwbf66r46u36kkdwqywnsvagkatg,5.3.0,4.0.3,1.14.0,0.2.20,3.20.2,3.3.2
h72mmuypatnt2un6hvqxrvjno2dn2pw3,6.1.1,4.0.3,1.14.0,0.3.15,3.17.4,3.3.1
heol74y2pukw6qboi4345zuiup6txb6o,6.4.0,4.0.3,1.14.0,0.3.6,3.16.6,develop
hmifgm4mhar7kn4uoe623tvyrfk5lnsn,5.3.0,4.0.2,absent,0.3.17,3.15.2,3.0.4
ioywhusc2iyrjwo5a5kkpx4rqe3rayeg,5.0.0,4.0.2,1.14.0,0.2.19,3.19.3,3.3.1
j2srajht45gpsb4gaopfo3iebswbmcst,6.3.1,4.0.2,absent,0.3.7,3.5.0,3.0.4
j3bzkkusadtpmctvjitltemiie2gis5u,5.1.3,4.0.3,1.14.0,0.3.15,3.16.9,3.4.2
jscda7c2skzm5lqmitv6vngkmunub6ui,5.3.0,4.0.3,1.6.2,0.3.7,3.13.0,3.2
jxf7ludpadmes5je4plcjtpfrohijbqj,6.1.1,4.0.3,1.14.0,0.2.16,3.18.0,3.3
jxh6dzybxywzmfcn3yusk3pbfxu3hsl6,5.1.2,4.0.3,1.14.0,0.3.17,3.14.0,3.4.2
k4nrxkbqi3qqqzw72s4avgi537wjb3te,5.1.0,4.0.3,1.14.0,0.3.15,3.10.1,3.4
kj3h77i53f7elzzfp7wnui5jbbj6vnod,6.3.0,4.0.3,1.14.0,develop,3.15.2,3.4.1
kp3n3uvnverao5det7jkhjhfececwc5w,6.2.0,4.0.3,1.14.0,0.3.6,3.14.0,3.3.1
kzygzs6ps3k3hic3hzb3aoisvbcyfcbb,5.2.2,4.0.3,absent,0.3.15,3.17.4,absent
lp25g2u4hkdm76razukgtfejk5llos3g,5.2.1,4.0.3,absent,0.3.11,3.14.4,3.1.1
ltasayxulholf5ah45v5yjjyeohmeqjw,6.3.0,4.0.3,absent,0.3.7,3.10.2,3.1.1
m4teybyskqe6k276jvb6ca7ldsvczron,5.2.1,4.0.2,1.14.0,0.3.5,3.13.0,3.4
m6eugcdgxrl5iadq4zgdo74tz7uawjou,7.1.1,4.0.3,1.14.0,0.2.15,3.18.4,develop
nc6jj5ztg22rmhqohf2pajnmif5bn6iw,5.4.0,4.0.3,absent,0.3.17,3.6.1,3.1
ou3evqsgzcnqgfue2rnjoyifuprbdfol,6.1.0,4.0.2,absent,0.3.15,3.10.1,absent
pc3kj7wizklptyhy6avdwbyub3eg5nav,5.3.0,4.0.2,absent,0.2.15,3.15.0,3.0.4
pc5bpwllcodmz64gn772jau34ip57j2v,6.3.0,4.0.3,1.6.2,develop,3.14.4,3.2.1
pelrbc7llu3jzr34scvxj7ccqowtile2,6.1.1,4.0.3,absent,0.3.12,3.16.6,3.0.4
pwpecviuliq3bhtf6mr4vinjxitz2x7x,5.3.0,4.0.2,1.6.2,0.3.16,3.14.5,3.2
rk2bo2qftdfvqo7geqy6qftp2ox6a3vp,5.2.2,4.0.3,1.14.0,0.3.11,3.16.6,3.4
s273zetf2ge3bxr6trw64sj4yqvffaj2,6.1.0,4.0.2,1.14.0,0.2.19,3.16.9,3.3
s3th3s2yllp5i7f63iounukhyhwlxdlg,5.1.2,4.0.3,absent,0.2.18,3.6.1,3.1.3
s7owdeyf4k7f7tfrxrwyh7enfwylx6ml,5.2.2,4.0.3,1.14.0,0.2.19,3.17.4,3.3.1
smlvvou7taaw7xi2c5cu3geckxblj6wr,6.0.0,4.0.3,absent,0.2.20,3.17.4,3.1.3
