,superlu-version,cmake-version,openblas-version
24emsgqkkjduc5i7zcyjphdb4qqidpz3,3.0,82.0,16.0
25tjbahglvo5ssir3qfzvdfztb6iu5n6,3.0,18.0,10.0
27klkpfh5uk4xsakv7kl3r5qyz7xp4s2,4.0,39.0,11.0
2caarqzxnoqdmboiae2rnlkdfxywzdyz,4.0,66.0,19.0
2ffskjk2nlmg7fpyyhs6iuxfdjphx743,2.0,74.0,0.0
2hyn2ins3a2biuhdlc2gcretdnvtz7hr,4.0,26.0,10.0
2jokluxynf3ies7rn6s3qzj72ivljbyl,3.0,48.0,2.0
2klytk6qqqpzs34qfmveq6ndil65evva,4.0,27.0,4.0
2mlj2r35dbjzq43kajloech7e7sp6jkd,4.0,12.0,6.0
2r7laa2otynljoujemnxh4hrouqzkxdr,4.0,6.0,3.0
2vuk4nbypk4gcm2pjxugqxprhrcqka2c,4.0,2.0,2.0
2w3ufb4454dj7vkneqdpwrgehjyvciwu,3.0,67.0,4.0
2wegtb5wv7pqptsgr6n23lljywzco75k,4.0,82.0,7.0
2xjrlcwix3ah5lylyehkvp6l3e7kclo3,4.0,24.0,20.0
355p3ekufjywnufbj6gohe4rus5yeamm,2.0,5.0,19.0
36wh6mgoqvwf2lc4jnndzcg55kzlfvuq,3.0,74.0,19.0
37kcdavz5vkcpwmmkckzfiwgxmsewgio,4.0,15.0,1.0
3dq5z4cim7i236ufqos75ydulpgvmb63,3.0,6.0,5.0
3eeaiso6xoor2rgyalscp7isvlssiatb,4.0,97.0,20.0
3g42peelha6rkunaha5bsmadl2o2h575,3.0,73.0,3.0
3gy7ai3fdls2n6krxnb2rsfixzf5yurt,3.0,3.0,18.0
3hujxuk4vaith7vimgenycj76oqzywjf,4.0,22.0,21.0
3hzijyd6vdoy7qungkfmkohadno2i34l,3.0,3.0,1.0
3n6phsoyrfglgscyxf2q2kqaytd77z2h,4.0,61.0,10.0
3px7c66dhqql3oqj27nr6qxw3saq7sne,4.0,84.0,16.0
3qvytktjqzc3ehgc6jjlfdtevjhb654g,2.0,34.0,20.0
3rf7stc2k2fq4q2xqh5gihnscrxtdxxh,3.0,84.0,1.0
3us6ciyjjg5lwyg4i43y2i2ijtp45wp3,3.0,84.0,21.0
3ylihtyweu7gm4cwz3clnbsl7b2u3hl4,3.0,19.0,2.0
3yuefsdbxaxvtyajowtzbcwku4lfpo4x,4.0,23.0,1.0
427rsye3z3oumang6jqd5clktnuic4dy,4.0,97.0,2.0
