,automake-version,pcre-version,swig-version
2eily5twube2ugnoefaxrzv2v7ofrnqc,1.16.2,8.43,master
2h5gv222loxa76ggqh2nekkxiqv66c2p,absent,8.39,1.3.40
2k46nhvzvn6q37t7wrrq6sjlx64cxvgf,1.15,8.38,4.0.2-fortran
2l55hy27lhax5kmhwtw562a4jxp7l55x,1.13.4,8.41,master
2lez2rcct3qoiie2rbcdeo335inf42dc,absent,8.42,1.3.40
2waic5pz4jklnhgaspy4r232i3emviul,1.15,8.38,fortran
2x2be7hw2b6ov6uy6vuduenozdtu6s5d,absent,8.44,4.0.2
2xehcv3l7i2xv7yzscubz3nfize4qenu,1.15,8.39,master
3axelgekw4ameylmstnwu72qak6qairs,1.16.1,8.40,fortran
3fn5gi23gairh5igwqzmdn6rthqlz6l6,1.15,8.41,master
3xlogtxlcch3j4j3dgjv44apipdr4ned,1.16.1,8.40,4.0.2-fortran
44bneqkindranloue3f6msp6zrr5goz7,1.16.3,8.38,4.0.2-fortran
44jklso6fsnwryg5itmatotovs2wfjap,1.15,8.41,4.0.2-fortran
4slmlv5qze4vdwvmdhs7i45pflxfv3j2,absent,8.40,2.0.12
4slqr7d73o4quotff2o5hsyaj5anddiz,1.16.1,8.38,master
4tleivmzu7w2mecenintqohqkdsvpuue,absent,8.38,4.0.0
4x4wpcag5uyx2cdo4t3t5tzhv3f62qq5,absent,8.39,4.0.2
5dej7u4mnhhhubpdzulvkki4mjrm3n7q,1.16.1,8.41,fortran
5e57ko3rnumrh6sxiqyr3ialjnumzb26,1.16.2,8.40,4.0.2-fortran
5f2n54qwvuogfojamyyto4kwiqmxupy3,absent,8.39,2.0.12
5pggr4yae4q6nxcjh7c6vlsfkwcgxqxi,1.14.1,8.38,4.0.2-fortran
5rnpp3bgwoueiacqbibnu52sdhleoosn,1.15.1,8.42,master
5xdnmymhwazje23uhclgfl42p572oo6w,1.13.4,8.42,4.0.2-fortran
6556zwzevy6itqg3fygicepghshlbxvg,absent,8.44,3.0.2
6e2aewnpeyiopwn2ioub7bc6gsai3pdo,1.14.1,8.40,master
6lvyhnd3afdpvttnra5b2ckdvnrjhqxr,1.14.1,8.43,master
6ss6gg7k5e2lotjvy6kdfq6ql5qqj57b,absent,8.44,2.0.12
6uhc24dhiu6qcbbddule62oxk5hpd4gl,1.16.3,8.43,fortran
6yjk4tb4zrkime2fuifasdjm6f3pwalz,absent,8.40,3.0.10
7bci4xryswocjsihp7mj6yjaim77f2ox,1.16.1,8.41,master
7jhiifril5nllcay3zeokic5avuufons,1.16.2,8.44,4.0.2-fortran
7soirurjriyy2itw22qfwflxjcgzqlhj,absent,8.38,1.3.40
7yhr55qiimmphloez6ry2et4qtk6klgq,1.16.2,8.39,4.0.2-fortran
adputmfwgkdgb7exospypt6r36orcmdf,absent,8.43,2.0.12
ak4wkaifiqwjjeq2xubvzg3aq2e3dvun,absent,8.43,2.0.2
ak7p2yxtdj6e2hihepqirzklqkxbtaij,1.16.2,8.41,fortran
akfgkp2p4ge4vmjwhcn4magocjb5f2in,1.16.2,8.38,fortran
ap2olasqqcwjsobhnomhum4cdqsuppjn,1.16.3,8.41,master
avew4ryveezorp3cmjcj75dv56ywo3nk,1.15.1,8.44,master
azk3c57i3ghcicy2xwebbhie6tlfop3c,1.16.2,8.42,master
bsg3vg3644x2f7ikvhxnzpobycv66cq2,absent,8.43,1.3.40
bslq5lqxzvbwwtw5wei2brt3jurueokc,absent,8.43,3.0.12
cd4wpi52oocrmzwgcuqhre3rrq6ljabf,1.13.4,8.44,4.0.2-fortran
cis2qtdqsetrthntedrzrqh6cfmirzs2,1.13.4,8.40,fortran
cobpsr4rgv4cpnrv6knzm3mitxmy2fjd,1.16.1,8.44,master
cpv5mnder7g6tb7ahxopklmaajhniike,1.15.1,8.39,fortran
cubdpfw3ry4lrhue64e2k5uzhigxmgnx,1.13.4,8.38,fortran
d2edtb4o4yaticxqwokxfi473ynfsfn6,1.15.1,8.43,fortran
d2ujaqmqkff7hx4nek55typkjok46qgh,absent,8.44,2.0.2
d5k5qtzmhankph57uuxfrhziezf37wjd,absent,8.41,4.0.1
de5qxb6sifj4knjwatwhs2mndtjqgm4m,1.13.4,8.40,4.0.2-fortran
dhal6v2r7dvsmr2evn5fmlwua54t3h4w,absent,8.43,4.0.2
dkc35qbnrp3tieec2ggrkdlyog446q27,1.16.1,8.42,4.0.2-fortran
dpapnv63am2zreqltcf7urbgbcqnksle,1.14.1,8.41,4.0.2-fortran
duk7v575bfky62fg5jfvzbgjne7a2cje,absent,8.44,4.0.1
e5voatmm4f3dj5yccbtmuw3tdrntplfh,1.15.1,8.38,master
ecdsax6s7d7pwxjjqow4v2ilkdhf5vvf,1.13.4,8.44,fortran
ekh5okijbhid53cbehb5cyx2qssoeoyt,1.16.1,8.39,master
er6abnyfd57n476lzadusuct67tdml3h,absent,8.41,4.0.0
ey4uq3jjzwlto4zurywophuqi4ks6iiy,1.16.3,8.44,fortran
f3ekteaqffvetbyuif6ettagiuvx4ild,1.16.1,8.44,4.0.2-fortran
f5k7k45bdi5ahgltvc6gj6hpltjtb5ei,1.16.2,8.41,4.0.2-fortran
f7ydukzzr6tg37tqkj6wbq5rd3l7wufl,1.16.3,8.38,master
fepasj7udjg6gs3xtmogebq7vkol6epg,1.15.1,8.40,master
fgbn3irdi5tozbu67lgnoailqigvayks,absent,8.42,3.0.8
fhn6ctlo5bixm7jd73na5o23kdwye4px,1.16.1,8.38,fortran
g5phuwxc6to5kjllegmozsewacfc4hdt,absent,8.43,3.0.11
gg6o2l2yflfk4fybqpxvlizclfknr6so,1.14.1,8.41,fortran
ggq6ycki5mumveqszfiw5dy3sgzgepx2,absent,8.40,3.0.11
gid5nfvcyhccaqd3dcmyaw4ywxnvqago,absent,8.42,2.0.2
givuune3ras52lp6w4paliitbn5jsgcx,1.15,8.40,master
gp7skp3k3fnftwxfkuw65rfasquvnsn7,1.16.2,8.43,4.0.2-fortran
h43bbxxunfaajairu4ehlkj7sl4kpfvt,absent,8.39,3.0.2
h7fq25tlet5tmt3lpq5yhjd5i47jdegq,absent,8.43,3.0.10
hb5rkhwapdg4dwpufxbo2czjc7puhz5p,1.16.2,8.38,4.0.2-fortran
hbiatmennnfa6xl76derllntwmg7dreu,1.15,8.40,4.0.2-fortran
hex32kh7boyyjx3y6jxdfhfgdmd2pwko,absent,8.40,4.0.2
hhjhjv6sppyvdjss4z52e2kscp3emufi,1.13.4,8.43,master
hicd6x5wnwmcynynwhfaproaq536wcic,1.15,8.38,master
hpmolcres6rcvjsbzqhoauig5xs7hsyq,1.13.4,8.43,4.0.2-fortran
htcrds6vwycl7ckgfndeh7e2acne6w4t,1.14.1,8.43,fortran
hvcn47tazdsyeisgzzkfdyqealt5hgzm,1.14.1,8.40,fortran
hw3hdgd7x5ouosqpcatvcpl4ote7mqzb,1.15,8.43,4.0.2-fortran
i5iahjtf6hmodsu4hmw74ecmo2z7kqk4,1.16.3,8.41,4.0.2-fortran
ibx6vele5uj3c2fxsuisqxhbjzerhsma,1.15.1,8.44,fortran
ili4r4wx65bw4avqrvrtmb4xucfehxom,absent,8.42,4.0.1
iopwiaejhhc3igh26x4fctfwratbper2,absent,8.38,2.0.12
ixpgeuwg7kyz34qkmmpgrzxnshvlayft,1.15.1,8.40,fortran
j5jvymmh5c5uqx2hca5tbm6p2l6yeldj,1.16.3,8.40,4.0.2-fortran
j6kozvduhk3353j4v4cs7m42zxh32rrn,absent,8.41,3.0.2
