,tasmanian-version,libfabric-version,cmake-version,mpich-version
23wvuy7l7s57ghzwx5lgec37f7w74cdm,2.0,0.0,39.0,10.0
24wwwts7rvog5qj6jcyh6anhrbg3u2vw,0.0,0.0,66.0,8.0
24z7eamudxgrvh6tdbgx3dm5js57v257,0.0,0.0,93.0,12.0
25jjmvoeqb23rjtruqxcewu763zhgwoe,1.0,0.0,11.0,10.0
25qtlpcfuemai4ewel7nma7o6x2aocio,6.0,2.0,77.0,2.0
26yi37fjsgiynmwr6yd37sgahdb5wgfv,5.0,0.0,50.0,12.0
27gpmwj3zyrgexd5mmahwadm2fcqrrza,2.0,0.0,14.0,12.0
2cgsnnmpwlcgv24xk5otjzpvlgwhevez,6.0,2.0,7.0,13.0
2cjuhc6mb7kzcdewc4yhdlbieatymijf,5.0,0.0,12.0,8.0
2doypeizybkpoq2gjikfqqeyttpucfnk,3.0,0.0,75.0,9.0
2dspwhnts6qqdhycjt34oqwlpwsptzpl,1.0,2.0,19.0,2.0
2e55n6qzrj6rgbm2bwfxdngzxi5emgzm,0.0,0.0,44.0,10.0
2f3yqtefage3xf34uulihn6swjh7cipk,0.0,0.0,55.0,7.0
2f47cm4oa6zdw2ug7mgh3a66gpowrawu,4.0,2.0,56.0,0.0
2fycbwdh3mciin7secf4pvqobzjybumj,4.0,2.0,9.0,1.0
2guzp43e7jtkxvzycsxe3pujzym3eqdj,7.0,1.0,39.0,5.0
2h3znj2ogr25fovyyljms5henponn6ft,0.0,0.0,52.0,11.0
2himyiz4qkojicd4nd7sr3huousjfjfm,7.0,2.0,19.0,2.0
2lnb5jdj4ndmrwkx4bqmiwly25whic76,4.0,0.0,45.0,14.0
2mz6avn3svik4fojdks5tstavy3ctwxa,2.0,0.0,76.0,7.0
2od5i6ruevq6o5qye7fmmxzb7452p4jg,1.0,2.0,75.0,3.0
2qhpjrhpzusrti5stvezmw4mziwfuvr5,7.0,2.0,40.0,2.0
2wm75rgoenncfbeace7i573mfq5ukn6v,3.0,0.0,42.0,14.0
33biyypyfysqab7xgqzsv7ytwv6recfo,5.0,0.0,42.0,7.0
36f64ekxcfigjedgbjyp3tpvohxq3qaj,3.0,1.0,12.0,6.0
36iv3kitbcu3yuhgprkrbbxm77cxgqyx,5.0,2.0,48.0,1.0
36mrfnovt54ezyln3fcnazr3wj4dtknm,6.0,2.0,70.0,2.0
3ac2mvyppn6ixhfim5dkk5pdesll6ylv,8.0,2.0,53.0,4.0
3apmvks45kj6oorfexwiqoqmvops5iis,8.0,0.0,51.0,12.0
3bicklid5nldelddujgi6its6a357txv,4.0,2.0,5.0,3.0
3bme3q632xj5sglb7dfatf6dxnunszge,2.0,2.0,44.0,4.0
3e7hp5pjhtq4y57jjbtk2sakirfn5ql3,2.0,0.0,7.0,11.0
3etljrlx43tv6u7fozdrzstgdbfqimhu,1.0,0.0,38.0,11.0
3f5bjbt2bhmrxkay6fi7gf2mphdlxond,4.0,2.0,69.0,2.0
3gktymnvysyifb5wl4xl6zk2bebqlaep,2.0,2.0,61.0,4.0
3he6b2djoctbmx5humiyw3ch6xvlzbho,8.0,2.0,48.0,4.0
3hh7ecvalqzwfbren2ncy7ya34qreufu,8.0,2.0,68.0,13.0
3jwcmgnfj45nsqzm3myjnbnhf75nkh6e,1.0,2.0,11.0,4.0
3ppgw3qfbyxtgr3mjifbknlidtxaev3i,0.0,0.0,77.0,9.0
3pseyfbtfe6vns62vxad4sahfredmn3s,7.0,2.0,34.0,4.0
3s6on7etgawsotxelgoqkvgz7i4hq7jv,6.0,2.0,54.0,4.0
3txw36hcfxkfdgxpc5gragk6je6ywjio,4.0,1.0,36.0,6.0
3u54tvu6nq6zqoitc3mhkuxxeyi7k7nh,7.0,2.0,78.0,13.0
3zmibpjhm7xskwsjbngpv3cm6dm44bjt,0.0,2.0,15.0,4.0
45dhpnkomlkcxsocyro2jhbzuyy546ya,7.0,0.0,37.0,10.0
463j74gzyx6sqpbc6r4h2mbimb76ivty,4.0,2.0,64.0,1.0
466dlh7avazectvevcnwmg2jm6ghcvf4,6.0,0.0,40.0,8.0
47wbkmg6ry6ey343cvrlrv2bbkr2unei,2.0,2.0,77.0,3.0
4a77rsn73fmx5kwsr3yzvlouqrgkanb6,2.0,2.0,42.0,3.0
4cejsemzt7rlxjphobvyspkjing4ptmj,4.0,0.0,73.0,11.0
4hwfmfnt6g67jpchozqy3uhpagtdyhnp,4.0,0.0,68.0,14.0
4kygnbf3yqvg3gj5kt4h5ntyefuxst53,5.0,0.0,62.0,9.0
4lgsidgrti2zedm3zmrmzebapqr3sgk6,4.0,1.0,71.0,6.0
4ljsukggarbn3is3nlsxr3f62jizieyk,7.0,2.0,24.0,0.0
4lyx24wiolwalwnxcx6lmyo6vnsactmk,5.0,2.0,28.0,3.0
4o63eqsd3ohq2metnivkvadv6mlyzabg,3.0,1.0,47.0,5.0
4ozewg5n7vdfleqfednq43wdfawi4oem,2.0,0.0,41.0,7.0
4r6zjf6g7rmha6gj2rp6pit36ecbhpez,0.0,2.0,31.0,4.0
4soj4kmqs3drpqfc5z5etgjktxkr6trp,1.0,2.0,23.0,4.0
4wuiuhzujeeq7z2mun4a4em6ymjrtvhk,3.0,0.0,45.0,12.0
4yetu4uiito6phxv5w7yjb3dwzzgbtln,1.0,2.0,34.0,0.0
4ywcfb23kvrlirurqporpavqahl5rejc,1.0,0.0,71.0,8.0
4z3sdkgsppfvxwupf7gz4bvbuuzqhwuf,2.0,1.0,89.0,6.0
4zstfx2su4zsuibvvrrxv7cyl35q6pib,4.0,2.0,42.0,2.0
54n4nfhpc7thon5nmg4utphztpwx23yp,2.0,0.0,20.0,7.0
5akiyuwl2rtllrxftk3jnaqmsssdkz6p,2.0,2.0,40.0,4.0
5blhft5zybag6pd7lqabe35jasftqrpp,5.0,0.0,20.0,7.0
5brhys63jlje5esg4myeur5v4clzj7mf,0.0,0.0,86.0,8.0
5e3h2efl37fmrdy7veph5zskg4cskygz,7.0,0.0,17.0,11.0
5e6tnsymb7kmir6kjhby6kjhwf3v4dir,3.0,0.0,16.0,10.0
