,mochi-margo-version,libtool-version,mercury-version,libfabric-version,spath-version,automake-version,gotcha-version,unifyfs-version
4637vxzwixjhipykxvryvxiovyurad4n,0.6,2.4.6,2.1.0,1.14.0,0.0.1,1.16.1,1.0.3,0.9.2
543clvqyvu7fypa72dmjgxarfiaxipw6,0.7,develop,2.1.0,1.11.0,0.1.0,1.15,develop,0.9.2
5msik5dfudeatsaahlrvnjdkpivgn3fo,0.5,develop,2.1.0,1.12.0,0.0.2,1.15,1.0.3,0.9.2
5oov5icnvncyhl5te7w4qq4dt3kolutb,0.4.3,2.4.6,1.0.1,1.13.1,0.0.2,1.14.1,master,0.9.1
atwzgexvpz3xpkuhgwz2gjntxrlzruhz,0.6.1,develop,2.1.0,1.12.1,0.0.1,1.16.1,develop,0.9.2
ergwbky7isurucftffzodmq3jrz26x56,0.5.1,2.4.6,2.1.0,1.13.1,0.0.2,1.16.1,1.0.3,0.9.2
lhg4x7cdd2vwfogno5k5sftfw3rm4hb4,0.6.3,develop,2.1.0,1.9.1,0.0.1,1.15,1.0.3,0.9.2
nk2exywy7ykq4fon3z4ajm7q3bbexvmy,0.6.1,develop,2.1.0,1.7.1,main,1.15,master,0.9.2
nok4shwyju2gscbmddlu6gqanhm5qcwe,0.9.4,develop,2.1.0,1.8.1,main,1.16.1,master,0.9.2
ph2nuo4w6lofit5yojii4hrsvzsmmydg,0.4.5,develop,2.1.0,1.13.1,0.0.2,1.16.1,1.0.3,develop
t7j55o67lhnpgswayyvinx3yf5if5con,0.4.3,develop,2.1.0,1.8.0,0.0.2,1.15,master,0.9.2
tbwd4mdirex545dj2pcl64rj3lm3g57y,0.5.1,2.4.6,2.1.0,1.10.1,0.0.1,1.16.1,1.0.3,0.9.2
tzdb5wflixxau52bfa4srzyor4a4eksv,0.6,develop,2.1.0,1.12.0,0.1.0,1.15,develop,develop
