,cmake-version,zfp-version
25a5bod4h3tsac7mnzquh5t46lgwxn3s,3.11.1,0.5.5
266eglj2qvv36axi2jisqje5oldin4ad,3.15.2,0.5.4
26etseborz2xzbdpt5ikqs53a4dmnrmg,3.19.7,0.5.5
2c6vxu3ki5p2yzuzlmzhdn3enjvlisfn,3.17.0,0.5.5
2dge2jod7pnbixtiku5x2ikvzc3ex33u,3.8.2,0.5.4
2gvwbpvpzqm42ns64ckkqnhd4emawoy4,3.10.0,0.5.1
2h3q24nsm7l26753q34zxvuvcxxitz4o,3.9.6,0.5.3
2itimcscovd3qnfdb6hqx4xbohzszrs4,3.15.6,develop
2izy6hh5bjoqtdxnvpfkrwkwecfrdsr4,3.14.0,develop
2j5e5wfb3b34msrioddpoizmpp2xryh5,3.16.5,0.5.4
2krvd5padrtaabsoggk6mgo4ci5fxomz,3.10.1,develop
2o23qa7vr4jdi5k64rkttawwnjyv5yil,3.16.8,0.5.1
2rpmlzr4jaqq2swpziugbzpuquot2erx,3.14.0,0.5.5
2vpxdfxizhpbrl4xbdjijq2jnjrgxm6y,3.10.2,0.5.3
2wc5xccey72xu6ixouqbsasui6pwzpv6,3.19.6,0.5.2
2xdzdf4jbctwrbcvuw32qge4g52b2tbz,3.16.9,0.5.5
344fdbtr33mhwrbm2xr3kyt4ozpppgnz,3.16.4,develop
346qoxnw7kjcm6xvenelw3dn2ujylxh4,3.14.2,develop
34bowpd2lekwptbti2bs6kebloodh3il,3.15.2,0.5.2
34llhlksbsl6d7ljbqpqf3dxzwzy5uj3,3.18.0,0.5.5
37c4geca665rkaijjagzc6imtyfvkozo,3.20.1,0.5.1
3a3gy5jlmzy2cwn4prtl5gkiqviwnstj,master,develop
3dwokeak4nnjmx4si7h6v5sfjdssmw2y,3.21.1,0.5.2
3eibrlzjqetk3hnpdyu4b32zjh2bfhqt,3.16.0,develop
3erimyi3hq7f2rpniue4csf5vrelnhsw,3.10.1,0.5.5
3ihelpws4rts2u7cmp5rsowhvaqx3xwi,3.20.5,0.5.4
3iwxwfwr7xy5afe4gqmdfh2u5sk3gzvx,3.15.0,0.5.4
3jtgtt5xi5wkga3aarvozfp23vbur3di,3.19.0,0.5.3
3n4iyzmpalblhyu4vwuz7izxwuzrwp5n,3.6.1,0.5.1
3sbmjir4cb743eiduit2ngied63cb4n7,3.17.3,0.5.4
3srfzmk5ylyag72hnabznqeojcjhq2t7,3.18.5,0.5.1
3t65egkduoj4kto4ey25ubkfnqe4tmmy,3.15.5,develop
3tkqtndg2rn4rqxbmim5r2bjfifcz6ng,3.17.1,0.5.3
3trcy3anqfdr4csrjz6svijd6o4acwbh,3.8.2,0.5.5
43fml32qa5hrn5uobp7hs7sv33ngh3ol,3.20.3,develop
44ghrmeogjgawbpjrpqddjlsp33toemd,3.4.0,0.5.5
45maiju2ssbtkfokk5eoccng3f3zahst,3.14.7,0.5.3
477g66rdpimi5bextdbfbs5alhs7kyc6,3.9.0,0.5.2
47oma576w24ijc2m2fiiz5qhoeqnzamj,master,0.5.2
4cvwxjyb2pd4oaq52fxmi6unh2rsuqau,3.15.7,0.5.1
4d6md6sl2x7patsk3brifb5brupi4zud,3.12.1,0.5.1
4mtretc43x2w24ubhdukyzwqyuht3yew,3.18.6,0.5.4
4oosf3g3ysrl2rlmkr4hfpuks4ddp4kv,3.10.1,0.5.4
4t6u6vnf4mdflwwdqvbzhp6cnc7r3zxf,3.9.0,0.5.5
4to5wexlacbytkzclazyz2elde2blqsz,3.19.8,0.5.2
4y7c5jovhiglr4jyxeybifu2gfukocdu,3.11.4,develop
4zwjkpv55lvcoicr6ym2hoadth5w5dxt,3.19.3,develop
565oglbe5jguwm3a7yrfh36qpg2347e4,3.21.2,0.5.3
56yywf5ugdekzuacfrbdk6fbkykkyvmp,3.7.1,0.5.1
5bbxuwiowgs4chqplkh4vds56jzrpscw,3.19.7,0.5.3
5dxifwij2gv4gwhvr4qsobuakkf54nbb,3.14.7,0.5.1
5e2bt45fsbrkwdwwc6vi5ldyw2uiqdix,3.14.6,0.5.2
5fdenojxriqhlqneif73ohgntdjgb2bp,3.12.3,develop
5g4lxgc33wiqcaoznwb6arr35erxpf66,3.19.2,0.5.3
5i46s4jum47crcv2awffzchk42e5c6ur,3.12.2,develop
5iotewj56ihajkj5jmloaymxugapa5os,3.11.1,0.5.4
5kvsct4xmndk2pisltqcorwljsygoihg,3.14.1,0.5.1
5lbcl5jme3fzguqbf4ttudbmzzxoq56y,3.20.3,0.5.2
5urmbppnkfn26hfvhh3q5my6qobqmetl,3.16.8,0.5.4
5v2vvraw4xcazz4uwutkj2evwtslr4ea,3.14.0,0.5.2
5vurt4gavhi57gdztvxush7rpuu55xtj,3.21.3,0.5.4
5ytrjerpuomnazmfupam7du3fhh5ay67,3.21.1,0.5.5
5ywsnnk62ikpabpm5flwpglm7xylzf7u,3.15.4,0.5.1
64pgtyx2zl4q5pwfmvpm4p6oybxxpoiy,3.21.1,0.5.4
66nzogpmwweaz4o3cl4g3eqxcctklvkd,3.17.1,0.5.4
66xcapjeaf7ee6tjqoqgjegpg65mj3ka,3.9.2,0.5.1
67xytfcc4txbiwk3zj4w4usyg2aujuc4,3.15.3,0.5.3
6bsdhpatdr5klgrfuwxd5hg22i66b4rn,3.12.3,0.5.1
6bzmw7ncd274vwf7tb72npbhpjnvdoju,3.5.1,0.5.5
6cc37vitbknm25bc43n5ata6izgtshij,3.20.2,0.5.1
6egkhgqmrj7toteqlo4tpxwrikre4twj,3.19.1,0.5.4
6jvu4yl22muphj43q4vmg2hofionuopm,3.20.4,0.5.5
6kctcvijnii4cgs3t66q3hwiluaw3lqx,3.14.1,0.5.5
6kqws3broc7jyvktk5czfrvqjyjm77f6,3.15.6,0.5.4
6kx4jliufyknjumisnwyd6ddr5pemfum,3.21.0,0.5.4
