,name,version,level,Status,Reason,full_hash,hash,Num Successes,Num Fails,Alloc Time,yaml_file,dependencies
25smglra6ejs64nhm4ux2pmbnoavcaew,kokkos,3.3.01,0,SUCCESS,Not Scheduled,25smglra6ejs64nhm4ux2pmbnoavcaew,tfmvm2afuiqfegnmpnwq6q7zab4ryhmf,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos/specs/25smglra6ejs64nhm4ux2pmbnoavcaew.yaml,['2polunnjoafbfmvqxcikvj4x7zuqxc5u']
2aa2adrzfanc6cvwtu7eqous2b64htf7,kokkos,develop,0,SUCCESS,Not Scheduled,2aa2adrzfanc6cvwtu7eqous2b64htf7,47txxccg4giggxljry7xmwrjqbrgl43t,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos/specs/2aa2adrzfanc6cvwtu7eqous2b64htf7.yaml,['fcmgle4uau2xzbnilxj4pifskp4aadrz']
2b5m3ug42xxkaddengujslyyb4y4ckx4,kokkos,3.1.00,0,SUCCESS,Not Scheduled,2b5m3ug42xxkaddengujslyyb4y4ckx4,ytvmclheamjiw5axbnn5ij5yuamsb7rx,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos/specs/2b5m3ug42xxkaddengujslyyb4y4ckx4.yaml,['wsqt35zdzh6tfz2i3dnek277xcvujbut']
2ejrvjyevs6b4foaepuwsnp6oocyuscg,kokkos,3.1.01,0,SUCCESS,Not Scheduled,2ejrvjyevs6b4foaepuwsnp6oocyuscg,g5btgnacvz5nutwf3xmsxm4gepyex52n,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos/specs/2ejrvjyevs6b4foaepuwsnp6oocyuscg.yaml,['6cltqahmkaktfw324ji2dazdmvzcl74f']
2hqetpb42xntrdenicp5lxny3imxl65x,kokkos,3.0.00,0,SUCCESS,Not Scheduled,2hqetpb42xntrdenicp5lxny3imxl65x,ggbifdchr6wvjizz5piusl6vcx7pyexd,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos/specs/2hqetpb42xntrdenicp5lxny3imxl65x.yaml,['sxb7ugm75yg7kvlz6h43vyhqyotkv3df']
2iydnuojtaxhtwjl2bsorolykawgem3c,kokkos,3.2.00,0,SUCCESS,Not Scheduled,2iydnuojtaxhtwjl2bsorolykawgem3c,smtc7ojx7ygh2nr6vlqhnq47zgmuep23,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos/specs/2iydnuojtaxhtwjl2bsorolykawgem3c.yaml,['x57cd2yb5bh5lmm3rluojucbqqnegit4']
2kwe7cgjtmv3tvhea7j7cgysvkexypjj,kokkos,3.1.01,0,SUCCESS,Not Scheduled,2kwe7cgjtmv3tvhea7j7cgysvkexypjj,g5btgnacvz5nutwf3xmsxm4gepyex52n,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos/specs/2kwe7cgjtmv3tvhea7j7cgysvkexypjj.yaml,['eophddrl5cbpoknyiy4p57sl5eumnwdv']
2le42aipxvbgztletamyzcvtkgpxc5d5,kokkos,3.3.01,0,SUCCESS,Not Scheduled,2le42aipxvbgztletamyzcvtkgpxc5d5,tfmvm2afuiqfegnmpnwq6q7zab4ryhmf,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos/specs/2le42aipxvbgztletamyzcvtkgpxc5d5.yaml,['xoh5dfpj74wuz7vfwubmoobpfekx2xwp']
2msk57eb2mqqqgc57g5vqk2nic65q4st,kokkos,develop,0,SUCCESS,Not Scheduled,2msk57eb2mqqqgc57g5vqk2nic65q4st,47txxccg4giggxljry7xmwrjqbrgl43t,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos/specs/2msk57eb2mqqqgc57g5vqk2nic65q4st.yaml,['v5fkij426oajch4eai6vffgkd3efp4wy']
2onmvohycul2z6nn333tsq45p6uyyvr3,kokkos,develop,0,SUCCESS,Not Scheduled,2onmvohycul2z6nn333tsq45p6uyyvr3,47txxccg4giggxljry7xmwrjqbrgl43t,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos/specs/2onmvohycul2z6nn333tsq45p6uyyvr3.yaml,['lbpam6wrjq2wvbwursykmvrhgofchnek']
2s372lgvw3dghfwldjs25v27mmgf7hk4,kokkos,3.1.01,0,SUCCESS,Not Scheduled,2s372lgvw3dghfwldjs25v27mmgf7hk4,g5btgnacvz5nutwf3xmsxm4gepyex52n,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos/specs/2s372lgvw3dghfwldjs25v27mmgf7hk4.yaml,['6xd2dipbxw2sp6guc6zmzfuidzk6c3tu']
337kiihstpsizjxbvhmdlqr6axt5guy4,kokkos,develop,0,SUCCESS,Not Scheduled,337kiihstpsizjxbvhmdlqr6axt5guy4,47txxccg4giggxljry7xmwrjqbrgl43t,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos/specs/337kiihstpsizjxbvhmdlqr6axt5guy4.yaml,['6cltqahmkaktfw324ji2dazdmvzcl74f']
375j3r4qkb2q5jbkbgwmaegqnuq7nir7,kokkos,3.4.01,0,SUCCESS,Not Scheduled,375j3r4qkb2q5jbkbgwmaegqnuq7nir7,yh6s2gtn4kniu6a75rs7z7mdcfwhuuvn,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos/specs/375j3r4qkb2q5jbkbgwmaegqnuq7nir7.yaml,['rncjcs6ssfs4mcdgr7icux7g44ao6dmt']
3bakxjrv7ruqtnd5qcqh5ryywhvkgsxx,kokkos,3.0.00,0,SUCCESS,Not Scheduled,3bakxjrv7ruqtnd5qcqh5ryywhvkgsxx,ggbifdchr6wvjizz5piusl6vcx7pyexd,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos/specs/3bakxjrv7ruqtnd5qcqh5ryywhvkgsxx.yaml,['fcmgle4uau2xzbnilxj4pifskp4aadrz']
3d33rosd4qkxz6jvwxwnzuhzi2tjd5fd,kokkos,3.4.01,0,SUCCESS,Not Scheduled,3d33rosd4qkxz6jvwxwnzuhzi2tjd5fd,yh6s2gtn4kniu6a75rs7z7mdcfwhuuvn,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos/specs/3d33rosd4qkxz6jvwxwnzuhzi2tjd5fd.yaml,['t67x44ity5fi57yohgr5r7g7afhv4q6f']
