,name,version,level,Status,Reason,full_hash,hash,Num Successes,Num Fails,Alloc Time,yaml_file,dependencies
23qqkrsmlwsnndwnshz26gmstbacutn2,metall,0.11,0,SUCCESS,Not Scheduled,23qqkrsmlwsnndwnshz26gmstbacutn2,vofmbluhxvmz3x446wxdwc4jytxuyyim,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/metall/specs/23qqkrsmlwsnndwnshz26gmstbacutn2.yaml,"['burspr2r6wppw55e47npuzrzokyhamzf', 'kpbycpoqtmk3bilke53ptc56kt3mx2zy']"
2eps6jw3zgt7yjlkatz6wrymuhknrexs,metall,0.9,0,SUCCESS,Not Scheduled,2eps6jw3zgt7yjlkatz6wrymuhknrexs,fxdppbbx3lkmsxlilt3tubqd5hx5wxqa,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/metall/specs/2eps6jw3zgt7yjlkatz6wrymuhknrexs.yaml,"['7pys6zlsiqelfshtywdnzrytsj4q47ob', 'v5fkij426oajch4eai6vffgkd3efp4wy']"
2hd55x7m5vajgswjnczxd55tppd2ohyd,metall,0.11,0,SUCCESS,Not Scheduled,2hd55x7m5vajgswjnczxd55tppd2ohyd,cb7vaqoh4sxjdodcgvdjlt4dw423zvak,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/metall/specs/2hd55x7m5vajgswjnczxd55tppd2ohyd.yaml,"['nzqd3htuk6ah3mqjbw7zgmegtzbxcqhi', 'cuebroshbqpxsgzmzqi3sh4tgfsauzhh']"
2icyrptudey44lemlejx6xjbvbarf27v,metall,0.13,0,SUCCESS,Not Scheduled,2icyrptudey44lemlejx6xjbvbarf27v,2jw4kllwlqbry6gvzx5hyz6chqj74fbt,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/metall/specs/2icyrptudey44lemlejx6xjbvbarf27v.yaml,"['f5thbkbk3lcbzb3u6yqqionm3ixqbyhl', 'cuebroshbqpxsgzmzqi3sh4tgfsauzhh']"
2m4v7okto2c2qj66cze3itkeohvhsxsv,metall,0.9,0,SUCCESS,Not Scheduled,2m4v7okto2c2qj66cze3itkeohvhsxsv,mqnnf5rjitdhbua7ahhcjvbxs4fchhqi,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/metall/specs/2m4v7okto2c2qj66cze3itkeohvhsxsv.yaml,"['h4axd2jmpnpym7ry7s4ndlp4bnhopdxa', 'eophddrl5cbpoknyiy4p57sl5eumnwdv']"
2mieyoxlrjdllicihxt2iuybyhcapjgr,metall,0.15,0,SUCCESS,Not Scheduled,2mieyoxlrjdllicihxt2iuybyhcapjgr,fxvhnzrj3qhw25xygpkp5lnb6ki75b65,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/metall/specs/2mieyoxlrjdllicihxt2iuybyhcapjgr.yaml,"['y7oix6januvy7cophjnfa6kygrf3plx4', '2ooattvyzef7jcufitfnwstlfoxav4xl']"
2p33fs54tqfdrzb2uhfqax7qo2zq6wps,metall,0.11,0,SUCCESS,Not Scheduled,2p33fs54tqfdrzb2uhfqax7qo2zq6wps,i7bbr6mwbnwt4374wul2x5dlybq5tpx4,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/metall/specs/2p33fs54tqfdrzb2uhfqax7qo2zq6wps.yaml,"['uzqarmj6qnxjtxkoc4tt4dxpbqxknuke', '3gsn4le7stkw4enroe2oljii4npbqsyu']"
2pc6mzhlgk3k4f2ruzwq5b2uzecifwyj,metall,0.9,0,SUCCESS,Not Scheduled,2pc6mzhlgk3k4f2ruzwq5b2uzecifwyj,c4rsra6tssfzz4txhvw2ujgepnvo53v7,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/metall/specs/2pc6mzhlgk3k4f2ruzwq5b2uzecifwyj.yaml,"['l3faubds67z5kuyjpgntdewhimjzx3ku', 'n2mvrjqr6ezsiyutrju65z33b6qqqg6u']"
2pwktmnyxqhea5ip7w542nazops535we,metall,0.13,0,SUCCESS,Not Scheduled,2pwktmnyxqhea5ip7w542nazops535we,ykv4bvya26c3vmnguvj4cmqrywuuatji,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/metall/specs/2pwktmnyxqhea5ip7w542nazops535we.yaml,"['pxxn6wldzqcjjng63sbkbivokwomirgx', 'i2v57gykhuszf366o6zf4itdcieajcj2']"
2qrxitysm3os4mkgmhhjdgp4go7yxr5k,metall,master,0,SUCCESS,Not Scheduled,2qrxitysm3os4mkgmhhjdgp4go7yxr5k,r5pydgwzgy2q2efgnu7mrlyzmc6ep6y6,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/metall/specs/2qrxitysm3os4mkgmhhjdgp4go7yxr5k.yaml,"['bdw6p2lp4gi3bxoi6acakt34cbaga7vt', 'qggj523dktgoblmay3gsyfmqjswi3775']"
32uym3rt6kp5rcjcizjrclcyj3npv3wl,metall,0.13,0,SUCCESS,Not Scheduled,32uym3rt6kp5rcjcizjrclcyj3npv3wl,d5zaetk4iokg7tjezkduewhkwysdcpir,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/metall/specs/32uym3rt6kp5rcjcizjrclcyj3npv3wl.yaml,"['y7oix6januvy7cophjnfa6kygrf3plx4', 'uerltlobdgp65ispjwdhzdzfcjzxifuc']"
3b4ez6ayvkfhybwwocknfh3wtik5mppo,metall,0.13,0,SUCCESS,Not Scheduled,3b4ez6ayvkfhybwwocknfh3wtik5mppo,ig75w5hlpnfskearbifc7uysn5muqa67,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/metall/specs/3b4ez6ayvkfhybwwocknfh3wtik5mppo.yaml,"['7pys6zlsiqelfshtywdnzrytsj4q47ob', 'x57cd2yb5bh5lmm3rluojucbqqnegit4']"
