,name,version,level,Status,Reason,full_hash,hash,Num Successes,Num Fails,Alloc Time,yaml_file,dependencies
34u2igpu3jd3u2tdv2lxg2ye72hwpzet,petsc,3.15.0,0,SUCCESS,Not Scheduled,34u2igpu3jd3u2tdv2lxg2ye72hwpzet,o45x3m6pmnilo3kmyrxksf5fatei7tyb,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/petsc/specs/34u2igpu3jd3u2tdv2lxg2ye72hwpzet.yaml,"['axxtojsxuzpfib44pwh47rf2fkxwvgbg', 'rspjhkckmq5uwh4leqlvbrgndzwrldom', 'apvc5xvq5b7th4gqxrq7h7y6d2xdy6wf', 'elboq6eq4uxfsqwg2a2mrzjtyenuynmy', 'a64dsl63tlgf6oo64trc62s3bqdef3rz', 'jav4wqudjcg7dsjv2bfmiftfzddznkg3', 'd63jnwbrgsk32kjctz55xkiqm4ezhegh', 'g53g2cc3hgjbfeqznw3cfkccbz4wv2oo', 'gnwe2zzhagmfovqxzgb77un4qmt7y4qc', 'dtzzlwcy6jw7hjm7z2aip4eyed2rizzu']"
3jtwfv5ib6hxvxfpkjlya2atm52q67lp,petsc,3.13.0,0,SUCCESS,Not Scheduled,3jtwfv5ib6hxvxfpkjlya2atm52q67lp,324ygr4m62tyspwwid4tw2u5ggueiwj6,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/petsc/specs/3jtwfv5ib6hxvxfpkjlya2atm52q67lp.yaml,"['axxtojsxuzpfib44pwh47rf2fkxwvgbg', 'knv3pjrgu7ooondxxrb6immqxcg7tsll', 'ez7trx22w3vgq4h4nwe7qqoyhxfzvvs5', 'elboq6eq4uxfsqwg2a2mrzjtyenuynmy', 'a64dsl63tlgf6oo64trc62s3bqdef3rz', 'jav4wqudjcg7dsjv2bfmiftfzddznkg3', 'd63jnwbrgsk32kjctz55xkiqm4ezhegh', 'oick3uqkoen3wyxiobmve764ap6d5sn7', 'gnwe2zzhagmfovqxzgb77un4qmt7y4qc', 'dtzzlwcy6jw7hjm7z2aip4eyed2rizzu']"
573dd2bzfxwcgebxjk7t52s7bqchnrlq,petsc,3.13.5,0,SUCCESS,Not Scheduled,573dd2bzfxwcgebxjk7t52s7bqchnrlq,b7nvq6wuo7t77sedjqqdozum6wiy25mw,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/petsc/specs/573dd2bzfxwcgebxjk7t52s7bqchnrlq.yaml,"['axxtojsxuzpfib44pwh47rf2fkxwvgbg', 'k24e2ltw2gkomebfbl2pvriyh4xz4cmh', 'thtltiux3bctajfgw4osq67hhyminzuj', 'elboq6eq4uxfsqwg2a2mrzjtyenuynmy', 'a64dsl63tlgf6oo64trc62s3bqdef3rz', 'jav4wqudjcg7dsjv2bfmiftfzddznkg3', 'd63jnwbrgsk32kjctz55xkiqm4ezhegh', 'g53g2cc3hgjbfeqznw3cfkccbz4wv2oo', 'dtzzlwcy6jw7hjm7z2aip4eyed2rizzu']"
5lx4pthyav6yupuclwqhznwxed7dma5x,petsc,3.15.4,0,SUCCESS,Not Scheduled,5lx4pthyav6yupuclwqhznwxed7dma5x,ssq7tc7u4xbal2lb4qqokqhz5bf54xku,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/petsc/specs/5lx4pthyav6yupuclwqhznwxed7dma5x.yaml,"['axxtojsxuzpfib44pwh47rf2fkxwvgbg', 'qf4cldmvvmk74wicrauheifp6a22gx7k', 'vck4f7h3ob7ndzdad33ejtt5lio25rmd', 'elboq6eq4uxfsqwg2a2mrzjtyenuynmy', 'a64dsl63tlgf6oo64trc62s3bqdef3rz', 'jav4wqudjcg7dsjv2bfmiftfzddznkg3', 'd63jnwbrgsk32kjctz55xkiqm4ezhegh', 'pnplg3pdjt4to3ow2h2zbg452urasfmb', 'dtzzlwcy6jw7hjm7z2aip4eyed2rizzu']"
6sxckvbexwpletqtj2fzyw4x4i2mb6o3,petsc,3.15.3,0,SUCCESS,Not Scheduled,6sxckvbexwpletqtj2fzyw4x4i2mb6o3,zi7f3actfcgmh33wolmltbkreipnp2j4,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/petsc/specs/6sxckvbexwpletqtj2fzyw4x4i2mb6o3.yaml,"['axxtojsxuzpfib44pwh47rf2fkxwvgbg', 'k24e2ltw2gkomebfbl2pvriyh4xz4cmh', 'b26jcjg5wro5ufwuy5qdqmah6xdgwiwm', 'elboq6eq4uxfsqwg2a2mrzjtyenuynmy', 'a64dsl63tlgf6oo64trc62s3bqdef3rz', 'jav4wqudjcg7dsjv2bfmiftfzddznkg3', 'd63jnwbrgsk32kjctz55xkiqm4ezhegh', 'cbrwtopprulbz7y5xcwh22jglhwuffel', 'gnwe2zzhagmfovqxzgb77un4qmt7y4qc', 'dtzzlwcy6jw7hjm7z2aip4eyed2rizzu']"
7wkel64ulllmqq2zreljpnhdznixdy6y,petsc,3.13.5,0,SUCCESS,Not Scheduled,7wkel64ulllmqq2zreljpnhdznixdy6y,hywjwrxzqae7c6arb7w5whyyfyw5v7xv,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/petsc/specs/7wkel64ulllmqq2zreljpnhdznixdy6y.yaml,"['axxtojsxuzpfib44pwh47rf2fkxwvgbg', '75jmffas73zgqilascqwuatzr43fxp6g', 'ncst7nuaegtqaouid4ospb7ko6w35q6g', 'elboq6eq4uxfsqwg2a2mrzjtyenuynmy', 'a64dsl63tlgf6oo64trc62s3bqdef3rz', 'jav4wqudjcg7dsjv2bfmiftfzddznkg3', 'd63jnwbrgsk32kjctz55xkiqm4ezhegh', '3xsmvn37i5u4rsmxu7fecilxekayoatk', 'dtzzlwcy6jw7hjm7z2aip4eyed2rizzu']"
e4dub7tdn7fiyi6kh23lrgjkao23svpn,petsc,3.15.1,0,SUCCESS,Not Scheduled,e4dub7tdn7fiyi6kh23lrgjkao23svpn,mb2j56cdeej5zqnyuye5kxluuqwsjrar,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/petsc/specs/e4dub7tdn7fiyi6kh23lrgjkao23svpn.yaml,"['axxtojsxuzpfib44pwh47rf2fkxwvgbg', 'd2gccocm3tcn23wfhiqbpi67xggyb2eh', 'rhrrz65eozbauwx7etjeqqsnwxfytppk', 'elboq6eq4uxfsqwg2a2mrzjtyenuynmy', 'a64dsl63tlgf6oo64trc62s3bqdef3rz', 'jav4wqudjcg7dsjv2bfmiftfzddznkg3', 'd63jnwbrgsk32kjctz55xkiqm4ezhegh', '5pvjjy7fnax77kl5khdjy7psbogf77pg', 'gnwe2zzhagmfovqxzgb77un4qmt7y4qc', 'dtzzlwcy6jw7hjm7z2aip4eyed2rizzu']"
g2hznoqwlxfanwxajsmnukxfovjcfijn,petsc,3.14.5,0,SUCCESS,Not Scheduled,g2hznoqwlxfanwxajsmnukxfovjcfijn,6lcsn6mxm43uqwe65se3jlz5zpjol2v2,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/petsc/specs/g2hznoqwlxfanwxajsmnukxfovjcfijn.yaml,"['axxtojsxuzpfib44pwh47rf2fkxwvgbg', 'i2bfdyu6gnz77kn7nkqb3ve6xzgqn66q', 'dz3dosqhskkajccy7myxnth763mfsjft', 'elboq6eq4uxfsqwg2a2mrzjtyenuynmy', 'a64dsl63tlgf6oo64trc62s3bqdef3rz', 'jav4wqudjcg7dsjv2bfmiftfzddznkg3', '2vwyvt4fqqnani2ytwqkxjq535kwfy7l', 'xqsabk7k7xztrevnafvxwsfvriqbewbg', '5qx7dmx5xq2qc75ykbtcqpjnjopkz7rx', 'dtzzlwcy6jw7hjm7z2aip4eyed2rizzu']"
gj5xqvd3vguh3iarwl2gd5oto2v5qzzo,petsc,3.13.1,0,SUCCESS,Not Scheduled,gj5xqvd3vguh3iarwl2gd5oto2v5qzzo,en7hpxgbuwozrhnkp7zusqa7txhoedlh,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/petsc/specs/gj5xqvd3vguh3iarwl2gd5oto2v5qzzo.yaml,"['axxtojsxuzpfib44pwh47rf2fkxwvgbg', 'uo44ouibpcvcqsqdfdto2afkja2mlnl4', 'jxl3fxjs4rur2p5l27prr7vwgzrsqudc', 'elboq6eq4uxfsqwg2a2mrzjtyenuynmy', 'a64dsl63tlgf6oo64trc62s3bqdef3rz', 'jav4wqudjcg7dsjv2bfmiftfzddznkg3', 'd63jnwbrgsk32kjctz55xkiqm4ezhegh', '2pju6ia2266tn4vy6dolt6e2oygdpyet', 'dtzzlwcy6jw7hjm7z2aip4eyed2rizzu']"
h2e2glnxtcoau74hyd6n55jab7vrogwk,petsc,3.14.3,0,SUCCESS,Not Scheduled,h2e2glnxtcoau74hyd6n55jab7vrogwk,ifre4vahnicmlj27aw7flofbygjgaekd,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/petsc/specs/h2e2glnxtcoau74hyd6n55jab7vrogwk.yaml,"['axxtojsxuzpfib44pwh47rf2fkxwvgbg', '27dossxgwubh75jtmkz53fddxwyd2rqd', 'uwsbnonxwk62rbtn3jlmxaedesamlzlg', 'elboq6eq4uxfsqwg2a2mrzjtyenuynmy', 'a64dsl63tlgf6oo64trc62s3bqdef3rz', 'jav4wqudjcg7dsjv2bfmiftfzddznkg3', '2vwyvt4fqqnani2ytwqkxjq535kwfy7l', 'adugbxkbcrodzkf5ftmuhn37tiun44ru', 'iwltempuzh6b3lvt22lamnpjod5r7wnj', 'dtzzlwcy6jw7hjm7z2aip4eyed2rizzu']"
