,name,version,level,Status,Reason,full_hash,hash,Num Successes,Num Fails,Alloc Time,yaml_file,dependencies
5rxntcepzdhjqiwu7365s65v2i2etgvg,qt,5.15.2,0,SUCCESS,Not Scheduled,5rxntcepzdhjqiwu7365s65v2i2etgvg,yoyf7l6pprbelhpw4wwdkquu2nr4gsai,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/qt/specs/5rxntcepzdhjqiwu7365s65v2i2etgvg.yaml,"['xiyvx2qcypjicjyjvkqt76mkuvsn2sxt', 'hwadsp64riykdrucjifk2r7enqzxuwal', 'khhh3d7xxxe3wpedwtzadwmu3gl2rb6m', 'reefup7ph6hnwbymmw6t3qkuwrjqkfrh', 'ntcosijch3rvqbtm75st2dm3sx2m57ww', 'u7p7oahut7d5onbvkgze5hwhbj4w3ldy', 'ymuxrs4kiouql67nly4sew5fzejjh3ol', 'zgzg242c6jl3dprrlgc3vwwoess6bndm', '2u5zd2xvyw6zj7onh7j6w3lzvtebax3c', 'hn6ivehpmlwvwe7pim4yzbeji2wzpekq', 'oymao4abnztqjkbriljnkykkyjpeelxe', '5raf64mmevlpcjbjii3yh5u7umuwox7o', '35zkskzugkvbykqzzcw5atw6xjinvc26', 'r2iydtykeyjsftlvl4qzehjpifzdllyl', 'ncggdmatyhwaavms3tmcbsv34vgi2dta', 'wcyrhcnains74jiingoqlbacourcw4ro', '4lw52yqs6nf2v2cux6b6lo24bhm7r4ag', 'qsqn3r6uvgnlv4ifseuu6n5c7piycazm', 'xwuj2gndofbepzh6bl2enqx4xgbmd73j', 'lx2o6qois7ilxmf3asv43h6r6jtai4uu', '3o76m4utiyrsvuxwx2ytcv7sd3g35si6', 'mh2tkyc6i6x6iys5r6zv47j4ugvr2yxa', 'or5mqmlweid3dct7rekdfyt2iw5g463k', '7vykgtmtntueukw4t5welv7piuui5hxq', 'tyd47xg3nobn7qcrz3uhphbeakbyguqh', 'dujyh7xiqxe43mqzviexdbjijp4my2rk', 'dtzzlwcy6jw7hjm7z2aip4eyed2rizzu']"
goceexbc34ath2opmz5wie2fst3ir7ch,qt,5.15.2,0,SUCCESS,Not Scheduled,goceexbc34ath2opmz5wie2fst3ir7ch,3gnru2iq6gshmbp7mlvhrizeatxh5qjg,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/qt/specs/goceexbc34ath2opmz5wie2fst3ir7ch.yaml,"['p4dxhlxwjp7i7pyb3erjemsypwz7dn4a', 'hwadsp64riykdrucjifk2r7enqzxuwal', 'khhh3d7xxxe3wpedwtzadwmu3gl2rb6m', 'r3bqluepalnv7m3rdgh3sr6pgxbjwfwj', 'e3wfmjmvxewepuf6h74jk4jqa3q5twcq', 'u7p7oahut7d5onbvkgze5hwhbj4w3ldy', 'ik6n4igldjierhdhl3untatankrrx65j', 'xqj5ru3yuaiuq2ugen772svmqdide6qw', '2u5zd2xvyw6zj7onh7j6w3lzvtebax3c', 'hn6ivehpmlwvwe7pim4yzbeji2wzpekq', 'oymao4abnztqjkbriljnkykkyjpeelxe', 'l2ca62zzobecfxsddljdlws6iyp2j2ml', '35zkskzugkvbykqzzcw5atw6xjinvc26', '7oxokbhtomjeijiedeechnx2mdcuqxtn', 'y4s7w7wt5c5up4s5rzzr3zbgnk36crca', 'wcyrhcnains74jiingoqlbacourcw4ro', 'kdomtsv5rglzd7oim642mz4zuziacicd', 'qsqn3r6uvgnlv4ifseuu6n5c7piycazm', 'ahp735hhvtoy3m22665kym5uki57wos2', 'lx2o6qois7ilxmf3asv43h6r6jtai4uu', '3o76m4utiyrsvuxwx2ytcv7sd3g35si6', 'mh2tkyc6i6x6iys5r6zv47j4ugvr2yxa', 'or5mqmlweid3dct7rekdfyt2iw5g463k', '7vykgtmtntueukw4t5welv7piuui5hxq', 'tyd47xg3nobn7qcrz3uhphbeakbyguqh', 'dujyh7xiqxe43mqzviexdbjijp4my2rk', 'dtzzlwcy6jw7hjm7z2aip4eyed2rizzu']"
hnzsb2v4xa3k46u4bcviuilbzarlzdnj,qt,5.15.2,0,SUCCESS,Not Scheduled,hnzsb2v4xa3k46u4bcviuilbzarlzdnj,pgvxprgw4jzbkg23h65xtenpogdgusdj,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/qt/specs/hnzsb2v4xa3k46u4bcviuilbzarlzdnj.yaml,"['xiyvx2qcypjicjyjvkqt76mkuvsn2sxt', '7ylxjt2u75u57xkbc5sixqhx722jlp5u', 'khhh3d7xxxe3wpedwtzadwmu3gl2rb6m', 'c56kefjcjxl4nhwrv3tmcxxx66gnmcrl', 'lkmzv4o626riadger7avtlro2dbjwnxa', 'u7p7oahut7d5onbvkgze5hwhbj4w3ldy', 'ni2m5g6mdovrkeyfwmggj3g626w3xfty', 'rjoydlj2wlg2feh6hdsf6bqtmk55ib2x', '2u5zd2xvyw6zj7onh7j6w3lzvtebax3c', '7sgmxzjmlpp3kjggwyqjzd7x7xcbqmnx', 'oymao4abnztqjkbriljnkykkyjpeelxe', '5raf64mmevlpcjbjii3yh5u7umuwox7o', '35zkskzugkvbykqzzcw5atw6xjinvc26', 'r2iydtykeyjsftlvl4qzehjpifzdllyl', 'ncggdmatyhwaavms3tmcbsv34vgi2dta', 'wcyrhcnains74jiingoqlbacourcw4ro', 'r4zgsqursrsvrk3rybix26cylll3sjsw', 'qsqn3r6uvgnlv4ifseuu6n5c7piycazm', 'xwuj2gndofbepzh6bl2enqx4xgbmd73j', 'lx2o6qois7ilxmf3asv43h6r6jtai4uu', '3o76m4utiyrsvuxwx2ytcv7sd3g35si6', 'mh2tkyc6i6x6iys5r6zv47j4ugvr2yxa', 'or5mqmlweid3dct7rekdfyt2iw5g463k', '7vykgtmtntueukw4t5welv7piuui5hxq', 'tyd47xg3nobn7qcrz3uhphbeakbyguqh', 'dujyh7xiqxe43mqzviexdbjijp4my2rk', 'dtzzlwcy6jw7hjm7z2aip4eyed2rizzu']"
p2hpfkmb7dp4pvo4s3g6ff4iucuik7kq,qt,5.14.2,0,SUCCESS,Not Scheduled,p2hpfkmb7dp4pvo4s3g6ff4iucuik7kq,ngdjd4chd4gzbiuqjhadyqat2mfxc64k,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/qt/specs/p2hpfkmb7dp4pvo4s3g6ff4iucuik7kq.yaml,"['mrshmcfp2ql4senicxcapqyvxaicxwsv', '7ylxjt2u75u57xkbc5sixqhx722jlp5u', 'khhh3d7xxxe3wpedwtzadwmu3gl2rb6m', '4m27dn2n7k4gddvc3zvoezd2izfmhd57', 'jwmyug4h4qvajjb4h6cqios6v44l3mn2', 'u7p7oahut7d5onbvkgze5hwhbj4w3ldy', '5c7lp7lohdcemxly3covjzl52djr7nct', '2krxwdmpkshpq6o2og3hm2ocpwpkk2xh', '2u5zd2xvyw6zj7onh7j6w3lzvtebax3c', 'hn6ivehpmlwvwe7pim4yzbeji2wzpekq', 'oymao4abnztqjkbriljnkykkyjpeelxe', 'l2ca62zzobecfxsddljdlws6iyp2j2ml', '35zkskzugkvbykqzzcw5atw6xjinvc26', '7oxokbhtomjeijiedeechnx2mdcuqxtn', 'y4s7w7wt5c5up4s5rzzr3zbgnk36crca', 'wcyrhcnains74jiingoqlbacourcw4ro', 'c4cvl5nie2ozpa4rzy5mna6t2pyo4o6m', 'qsqn3r6uvgnlv4ifseuu6n5c7piycazm', 'xwuj2gndofbepzh6bl2enqx4xgbmd73j', 'lx2o6qois7ilxmf3asv43h6r6jtai4uu', '3o76m4utiyrsvuxwx2ytcv7sd3g35si6', 'mh2tkyc6i6x6iys5r6zv47j4ugvr2yxa', 'or5mqmlweid3dct7rekdfyt2iw5g463k', '7vykgtmtntueukw4t5welv7piuui5hxq', 'tyd47xg3nobn7qcrz3uhphbeakbyguqh', 'dujyh7xiqxe43mqzviexdbjijp4my2rk', 'dtzzlwcy6jw7hjm7z2aip4eyed2rizzu']"
simz7drhjkejcczkwwqkev5qjnw3rzpp,qt,5.9.9,0,SUCCESS,Not Scheduled,simz7drhjkejcczkwwqkev5qjnw3rzpp,p5koeogitj4vvxidfytzjwx5yaa65xgv,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/qt/specs/simz7drhjkejcczkwwqkev5qjnw3rzpp.yaml,"['p4dxhlxwjp7i7pyb3erjemsypwz7dn4a', 'hwadsp64riykdrucjifk2r7enqzxuwal', 'khhh3d7xxxe3wpedwtzadwmu3gl2rb6m', 'lu4cee2sqyg5eu6by6hsek3fri32w7al', 'zbbxsrhncjljiy2vtchgyly5oqznlp2c', 'u7p7oahut7d5onbvkgze5hwhbj4w3ldy', 'ik6n4igldjierhdhl3untatankrrx65j', 'xqj5ru3yuaiuq2ugen772svmqdide6qw', '2u5zd2xvyw6zj7onh7j6w3lzvtebax3c', '7sgmxzjmlpp3kjggwyqjzd7x7xcbqmnx', 'oymao4abnztqjkbriljnkykkyjpeelxe', '5raf64mmevlpcjbjii3yh5u7umuwox7o', '35zkskzugkvbykqzzcw5atw6xjinvc26', 'r2iydtykeyjsftlvl4qzehjpifzdllyl', 'ncggdmatyhwaavms3tmcbsv34vgi2dta', 'wcyrhcnains74jiingoqlbacourcw4ro', 'r4zgsqursrsvrk3rybix26cylll3sjsw', 'c32qd6uvo5wixlsv6myxx2jqojyzfi6r', 'lx2o6qois7ilxmf3asv43h6r6jtai4uu', '3o76m4utiyrsvuxwx2ytcv7sd3g35si6', 'mh2tkyc6i6x6iys5r6zv47j4ugvr2yxa', 'or5mqmlweid3dct7rekdfyt2iw5g463k', '7vykgtmtntueukw4t5welv7piuui5hxq', 'tyd47xg3nobn7qcrz3uhphbeakbyguqh', 'dujyh7xiqxe43mqzviexdbjijp4my2rk', 'dtzzlwcy6jw7hjm7z2aip4eyed2rizzu']"
u5zu7fhe47xbffy5ne6oph2gr5dij5tt,qt,5.15.2,0,SUCCESS,Not Scheduled,u5zu7fhe47xbffy5ne6oph2gr5dij5tt,ic7sfpebosieykwa54k6sxub54ffsnc2,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/qt/specs/u5zu7fhe47xbffy5ne6oph2gr5dij5tt.yaml,"['xiyvx2qcypjicjyjvkqt76mkuvsn2sxt', 'hwadsp64riykdrucjifk2r7enqzxuwal', 'khhh3d7xxxe3wpedwtzadwmu3gl2rb6m', 'c56kefjcjxl4nhwrv3tmcxxx66gnmcrl', 'lkmzv4o626riadger7avtlro2dbjwnxa', 'u7p7oahut7d5onbvkgze5hwhbj4w3ldy', 'ni2m5g6mdovrkeyfwmggj3g626w3xfty', 'rjoydlj2wlg2feh6hdsf6bqtmk55ib2x', '2u5zd2xvyw6zj7onh7j6w3lzvtebax3c', '7sgmxzjmlpp3kjggwyqjzd7x7xcbqmnx', 'oymao4abnztqjkbriljnkykkyjpeelxe', 'l2ca62zzobecfxsddljdlws6iyp2j2ml', '35zkskzugkvbykqzzcw5atw6xjinvc26', '7oxokbhtomjeijiedeechnx2mdcuqxtn', 'y4s7w7wt5c5up4s5rzzr3zbgnk36crca', 'wcyrhcnains74jiingoqlbacourcw4ro', 'c4cvl5nie2ozpa4rzy5mna6t2pyo4o6m', 'qsqn3r6uvgnlv4ifseuu6n5c7piycazm', 'ahp735hhvtoy3m22665kym5uki57wos2', 'lx2o6qois7ilxmf3asv43h6r6jtai4uu', '3o76m4utiyrsvuxwx2ytcv7sd3g35si6', 'mh2tkyc6i6x6iys5r6zv47j4ugvr2yxa', 'or5mqmlweid3dct7rekdfyt2iw5g463k', '7vykgtmtntueukw4t5welv7piuui5hxq', 'tyd47xg3nobn7qcrz3uhphbeakbyguqh', 'dujyh7xiqxe43mqzviexdbjijp4my2rk', 'dtzzlwcy6jw7hjm7z2aip4eyed2rizzu']"
4iqogspumau5vjgmrc7hvpk6ptvr43u3,qt,5.12.5,0,FAILED,Root Failure,4iqogspumau5vjgmrc7hvpk6ptvr43u3,5mzizylr5xjvgo5vzhiemfckfo4yijs6,0,1,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/qt/specs/4iqogspumau5vjgmrc7hvpk6ptvr43u3.yaml,"['xiyvx2qcypjicjyjvkqt76mkuvsn2sxt', '7ylxjt2u75u57xkbc5sixqhx722jlp5u', 'khhh3d7xxxe3wpedwtzadwmu3gl2rb6m', '6oo5ejgmse4n5kpre6exjae2js4miq5z', 'n45jo6ilqurp7f7ieh7fbnqvxwaveju5', 'u7p7oahut7d5onbvkgze5hwhbj4w3ldy', 'ymuxrs4kiouql67nly4sew5fzejjh3ol', 'zgzg242c6jl3dprrlgc3vwwoess6bndm', '2u5zd2xvyw6zj7onh7j6w3lzvtebax3c', 'hn6ivehpmlwvwe7pim4yzbeji2wzpekq', 'oymao4abnztqjkbriljnkykkyjpeelxe', '5raf64mmevlpcjbjii3yh5u7umuwox7o', '35zkskzugkvbykqzzcw5atw6xjinvc26', 'r2iydtykeyjsftlvl4qzehjpifzdllyl', 'ncggdmatyhwaavms3tmcbsv34vgi2dta', 'wcyrhcnains74jiingoqlbacourcw4ro', '4lw52yqs6nf2v2cux6b6lo24bhm7r4ag', 'qsqn3r6uvgnlv4ifseuu6n5c7piycazm', 'c32qd6uvo5wixlsv6myxx2jqojyzfi6r', 'lx2o6qois7ilxmf3asv43h6r6jtai4uu', '3o76m4utiyrsvuxwx2ytcv7sd3g35si6', 'mh2tkyc6i6x6iys5r6zv47j4ugvr2yxa', 'or5mqmlweid3dct7rekdfyt2iw5g463k', '7vykgtmtntueukw4t5welv7piuui5hxq', 'tyd47xg3nobn7qcrz3uhphbeakbyguqh', 'dujyh7xiqxe43mqzviexdbjijp4my2rk', 'dtzzlwcy6jw7hjm7z2aip4eyed2rizzu']"
4nnogjifsedbtps64ygu3jumvy77ww7z,qt,5.11.3,0,FAILED,Root Failure,4nnogjifsedbtps64ygu3jumvy77ww7z,6pya5ypbibvj3lmorltta55usn3altm3,0,1,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/qt/specs/4nnogjifsedbtps64ygu3jumvy77ww7z.yaml,"['p4dxhlxwjp7i7pyb3erjemsypwz7dn4a', 'qgdqgccs5rb5uyebyyueugoew7xxiv6y', 'khhh3d7xxxe3wpedwtzadwmu3gl2rb6m', 'znqaqv3svc7xsf22g3ibp66cai5dmk63', 'vlqeji2ci6kgkmmgsozvx3bvtkpnlqzo', 'u7p7oahut7d5onbvkgze5hwhbj4w3ldy', 'ymuxrs4kiouql67nly4sew5fzejjh3ol', 'zgzg242c6jl3dprrlgc3vwwoess6bndm', '2u5zd2xvyw6zj7onh7j6w3lzvtebax3c', '7sgmxzjmlpp3kjggwyqjzd7x7xcbqmnx', 'oymao4abnztqjkbriljnkykkyjpeelxe', 'l2ca62zzobecfxsddljdlws6iyp2j2ml', '35zkskzugkvbykqzzcw5atw6xjinvc26', '7oxokbhtomjeijiedeechnx2mdcuqxtn', 'oqglkq5pqhnz3ixsl2fjjcod3zgrnpor', 'wcyrhcnains74jiingoqlbacourcw4ro', 'c4cvl5nie2ozpa4rzy5mna6t2pyo4o6m', 'qsqn3r6uvgnlv4ifseuu6n5c7piycazm', 'xwuj2gndofbepzh6bl2enqx4xgbmd73j', 'lx2o6qois7ilxmf3asv43h6r6jtai4uu', '3o76m4utiyrsvuxwx2ytcv7sd3g35si6', 'mh2tkyc6i6x6iys5r6zv47j4ugvr2yxa', 'or5mqmlweid3dct7rekdfyt2iw5g463k', '7vykgtmtntueukw4t5welv7piuui5hxq', 'tyd47xg3nobn7qcrz3uhphbeakbyguqh', 'dujyh7xiqxe43mqzviexdbjijp4my2rk', 'dtzzlwcy6jw7hjm7z2aip4eyed2rizzu']"
7bfpwymfbaukqpg6nnuh3nkca4pg2wg5,qt,5.9.0,0,FAILED,Root Failure,7bfpwymfbaukqpg6nnuh3nkca4pg2wg5,cxyulesxcuci3hvlaceewnaepkaxcyik,0,1,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/qt/specs/7bfpwymfbaukqpg6nnuh3nkca4pg2wg5.yaml,"['xiyvx2qcypjicjyjvkqt76mkuvsn2sxt', 'hwadsp64riykdrucjifk2r7enqzxuwal', 'khhh3d7xxxe3wpedwtzadwmu3gl2rb6m', 'lu4cee2sqyg5eu6by6hsek3fri32w7al', 'iea5khiilmuyow5j4cyaxxl3v7xy4ect', 'u7p7oahut7d5onbvkgze5hwhbj4w3ldy', 'n2ekk4mdcwix5g6oz7pmxvmhjaxpf3nr', 'ibkucmlqdbrmum7tt62er7rgc252q4s3', '2u5zd2xvyw6zj7onh7j6w3lzvtebax3c', '7sgmxzjmlpp3kjggwyqjzd7x7xcbqmnx', 'oymao4abnztqjkbriljnkykkyjpeelxe', '5raf64mmevlpcjbjii3yh5u7umuwox7o', '35zkskzugkvbykqzzcw5atw6xjinvc26', 'r2iydtykeyjsftlvl4qzehjpifzdllyl', 'ncggdmatyhwaavms3tmcbsv34vgi2dta', 'wcyrhcnains74jiingoqlbacourcw4ro', '4lw52yqs6nf2v2cux6b6lo24bhm7r4ag', 'xwuj2gndofbepzh6bl2enqx4xgbmd73j', 'lx2o6qois7ilxmf3asv43h6r6jtai4uu', '3o76m4utiyrsvuxwx2ytcv7sd3g35si6', 'mh2tkyc6i6x6iys5r6zv47j4ugvr2yxa', 'or5mqmlweid3dct7rekdfyt2iw5g463k', '7vykgtmtntueukw4t5welv7piuui5hxq', 'tyd47xg3nobn7qcrz3uhphbeakbyguqh', 'dujyh7xiqxe43mqzviexdbjijp4my2rk', 'dtzzlwcy6jw7hjm7z2aip4eyed2rizzu']"
axh6r3rqdlxju2jqfgifoesjx6ej6twi,qt,5.13.1,0,FAILED,Root Failure,axh6r3rqdlxju2jqfgifoesjx6ej6twi,xblrxgiwv3te37jcp6jqo62idpiiwtau,0,1,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/qt/specs/axh6r3rqdlxju2jqfgifoesjx6ej6twi.yaml,"['mrshmcfp2ql4senicxcapqyvxaicxwsv', '3cnhqwjvcsnglmdr6s2qaoyzevsakxug', 'khhh3d7xxxe3wpedwtzadwmu3gl2rb6m', 'c56kefjcjxl4nhwrv3tmcxxx66gnmcrl', 'qvyrbe46b7r5qzllmmox2lojkuhnlk4k', 'u7p7oahut7d5onbvkgze5hwhbj4w3ldy', 'ik6n4igldjierhdhl3untatankrrx65j', '2xv7rcz4letd3i2k2bboo6czqhrxsd7r', '2u5zd2xvyw6zj7onh7j6w3lzvtebax3c', 'hn6ivehpmlwvwe7pim4yzbeji2wzpekq', 'oymao4abnztqjkbriljnkykkyjpeelxe', '5raf64mmevlpcjbjii3yh5u7umuwox7o', '35zkskzugkvbykqzzcw5atw6xjinvc26', 'r2iydtykeyjsftlvl4qzehjpifzdllyl', 'cxl6ez4owrg7qwksdm7al5624twg5y6n', 'wcyrhcnains74jiingoqlbacourcw4ro', '4lw52yqs6nf2v2cux6b6lo24bhm7r4ag', 'qsqn3r6uvgnlv4ifseuu6n5c7piycazm', 'o2uf54pewujgrwvmlxpapy2mbxx27q4t', 'lx2o6qois7ilxmf3asv43h6r6jtai4uu', '3o76m4utiyrsvuxwx2ytcv7sd3g35si6', 'mh2tkyc6i6x6iys5r6zv47j4ugvr2yxa', 'or5mqmlweid3dct7rekdfyt2iw5g463k', '7vykgtmtntueukw4t5welv7piuui5hxq', 'tyd47xg3nobn7qcrz3uhphbeakbyguqh', 'dujyh7xiqxe43mqzviexdbjijp4my2rk', 'dtzzlwcy6jw7hjm7z2aip4eyed2rizzu']"
