,name,version,level,Status,Reason,full_hash,hash,Num Successes,Num Fails,Alloc Time,yaml_file,dependencies
5e6f5q3cn6vcmopfsjcjbftvkm5jcrpo,qwt,6.1.6,0,SUCCESS,Not Scheduled,5e6f5q3cn6vcmopfsjcjbftvkm5jcrpo,bqxmjulzhufob7vizbo2vduohlildray,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/qwt/specs/5e6f5q3cn6vcmopfsjcjbftvkm5jcrpo.yaml,['elxo7toszqvs37bclmneq6k7lgdl3d4x']
7gb4k5lu364imsdpbov5cwg354yxgttg,qwt,6.1.4,0,SUCCESS,Not Scheduled,7gb4k5lu364imsdpbov5cwg354yxgttg,vd7l26fb4of2pcni7mi563uecddskars,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/qwt/specs/7gb4k5lu364imsdpbov5cwg354yxgttg.yaml,['wldjjouvrvtei2l2n2di6cxxgrd6ld5r']
bvzues43jjhtf7umrie4utstihrw5vgt,qwt,6.1.3,0,SUCCESS,Not Scheduled,bvzues43jjhtf7umrie4utstihrw5vgt,zg4ljzplebhiokv2xwbiukkamacnfytg,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/qwt/specs/bvzues43jjhtf7umrie4utstihrw5vgt.yaml,['wldjjouvrvtei2l2n2di6cxxgrd6ld5r']
d6kyp57k64t63342g2revcqcfofgvusn,qwt,6.1.6,0,SUCCESS,Not Scheduled,d6kyp57k64t63342g2revcqcfofgvusn,6j7uzdo5cctwae2wofrgqgimyjw5jhqp,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/qwt/specs/d6kyp57k64t63342g2revcqcfofgvusn.yaml,['v4jzgfbpfjqavkx2ulsfkv5to2hwidrw']
eue3j22q4bfdiogmjcl53vv5s5cwa4au,qwt,6.1.3,0,SUCCESS,Not Scheduled,eue3j22q4bfdiogmjcl53vv5s5cwa4au,xpno4jk3bsyyax7fw4qa2sdp3kdoa5hq,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/qwt/specs/eue3j22q4bfdiogmjcl53vv5s5cwa4au.yaml,['zedivbjpufjg6u3npe6ilmap6pfmuciv']
gbiqirxogszii2m5pszadhyen7vouccx,qwt,6.1.3,0,SUCCESS,Not Scheduled,gbiqirxogszii2m5pszadhyen7vouccx,hhdx2icgz5h4f42k66cryyucz3mu7gjk,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/qwt/specs/gbiqirxogszii2m5pszadhyen7vouccx.yaml,['p2knj42zwdnntkq62zg3cpfp3chvgpcp']
gp7xshprclrao4joytxjpbqarxsro76p,qwt,6.1.3,0,SUCCESS,Not Scheduled,gp7xshprclrao4joytxjpbqarxsro76p,n4ecbkav67l4fmduh3urnj2higarstrd,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/qwt/specs/gp7xshprclrao4joytxjpbqarxsro76p.yaml,['rgxz7tr2lux53okjk3lprh35vumyh4hv']
h6sfwu4oucet6yi7s7vdaeuocglbsodn,qwt,6.1.4,0,SUCCESS,Not Scheduled,h6sfwu4oucet6yi7s7vdaeuocglbsodn,zz3mdigjcebl6xi2djgvapt44mleihlw,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/qwt/specs/h6sfwu4oucet6yi7s7vdaeuocglbsodn.yaml,['zedivbjpufjg6u3npe6ilmap6pfmuciv']
h77l7vxi3bcvhjlk5dmaf67bto4gfuad,qwt,6.1.6,0,SUCCESS,Not Scheduled,h77l7vxi3bcvhjlk5dmaf67bto4gfuad,7famob3cjcwjkjcrbm7odtx6oqnpj23o,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/qwt/specs/h77l7vxi3bcvhjlk5dmaf67bto4gfuad.yaml,['rgxz7tr2lux53okjk3lprh35vumyh4hv']
hfvyzl5nlfgde3ygjb6uakcafe6twebc,qwt,6.1.6,0,SUCCESS,Not Scheduled,hfvyzl5nlfgde3ygjb6uakcafe6twebc,i4qo3na6dw5a2q7wiuq42cre44g6b2rr,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/qwt/specs/hfvyzl5nlfgde3ygjb6uakcafe6twebc.yaml,['p2knj42zwdnntkq62zg3cpfp3chvgpcp']
