,name,version,level,Status,Reason,full_hash,hash,Num Successes,Num Fails,Alloc Time,yaml_file,dependencies
3trsgu7azj4vi3zzgkwjdlzr3r5bjovy,superlu-dist,5.0.0,0,SUCCESS,Not Scheduled,3trsgu7azj4vi3zzgkwjdlzr3r5bjovy,epzfwuelclxk3s2s7n25czvduesg5gwb,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/superlu-dist/specs/3trsgu7azj4vi3zzgkwjdlzr3r5bjovy.yaml,"['xoh5dfpj74wuz7vfwubmoobpfekx2xwp', 'xsafslppejovclog4nzsmpsl4its2yok', 'sm7tvonxqb65nc4huwkpqd2on2fqtiug', 'qfqhgzmtl2zvjx4z4em22nxgmvxv6fuz', 'kd2c4yoxhnrn2towvtjm4knatygtuuql']"
4bu36tftt5m7wx5mjx2d5e6xt5pahuji,superlu-dist,5.4.0,0,SUCCESS,Not Scheduled,4bu36tftt5m7wx5mjx2d5e6xt5pahuji,vk3cl5txo5sqtyca2vpiwxttujdzm5ed,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/superlu-dist/specs/4bu36tftt5m7wx5mjx2d5e6xt5pahuji.yaml,"['f6pmtbfpfyjszbukxpsma5wq3rgi3joh', 'srtu6cf6stojqwktiiri6attfyfojqo7', 'nnaxyn37rpv4cdnsn6bdq3dwjpjprguk', 'qfqhgzmtl2zvjx4z4em22nxgmvxv6fuz', 'tln3hg3ifiblk3jeuirhtsf5rikqb2pt']"
4uxpm7dbxkahnonp5ioklufyit3a4skj,superlu-dist,6.1.0,0,SUCCESS,Not Scheduled,4uxpm7dbxkahnonp5ioklufyit3a4skj,dnxd4iehctfbf6yx4x6wuqxuirgvykof,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/superlu-dist/specs/4uxpm7dbxkahnonp5ioklufyit3a4skj.yaml,"['sdqzjyrkuxg5nq2kuaczyc3otlq4dc7o', 'yazkw3qnal2i4yz6ypdgpr23cnugen2i', 'o67hxbh52k63nf4og7xilfcc2gsfhrcl', 'ts6limkslso6zu72naiaolcpob6qc6zm', 'pldb2im44m2sqfversxosqnhvxyffs2u']"
54pp7pfjcfyj3wz62tlpe7zwiccxtdat,superlu-dist,5.3.0,0,SUCCESS,Not Scheduled,54pp7pfjcfyj3wz62tlpe7zwiccxtdat,rx3vxps6scrfobdnay6yercton3fdnri,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/superlu-dist/specs/54pp7pfjcfyj3wz62tlpe7zwiccxtdat.yaml,"['2fvwcsqfxv6trc3ucje34ywir3ep2ebm', '4ztcqlox25vx7doyt4sdzy3ri4pcehl4', 'jsl7r5mwlzon5hijlxtp4kxv2h6khsww', 'e4gzs3dduvc65i56avfdbyvn4hervnp6', 'd5z2rtb7nafoxg7l76dz7w3yqzlwqc4e']"
5akelxb3hm3wboazkhlgkq2mpyntm4bw,superlu-dist,5.1.2,0,SUCCESS,Not Scheduled,5akelxb3hm3wboazkhlgkq2mpyntm4bw,t22w5rzvqcvkrbvdczz7bhf3zmfmtbnq,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/superlu-dist/specs/5akelxb3hm3wboazkhlgkq2mpyntm4bw.yaml,"['qgyod57avvzfkeffeddsiqnklmt7pw2o', 'wkzhn3j6gejzu434oasnoezpjxczcrkl', '4nzq2eqvti2hifnqlkafgwvgpenqaale', 'nu7rve24orrsc2ievlfwnal4zmdm3kq6', 'yiurosw5w3xurj5z66xld7sq6ijfsohc']"
5qs6qfx54leupprhq76o57zs65lpj6ef,superlu-dist,6.1.1,0,SUCCESS,Not Scheduled,5qs6qfx54leupprhq76o57zs65lpj6ef,f6mqsyrvff6fs2xx2z3s5oux2wvczdgs,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/superlu-dist/specs/5qs6qfx54leupprhq76o57zs65lpj6ef.yaml,"['dqkbvekq2y4mc6sklnj2xb6w73q72lse', 'yprwjwaim4mgh6qer4zgowggvtbgtuqj', 'piol2hoakmpxu4jmihya3hfisbwwat7p', 'oymegvbkeubve4y2qwlvmdxfb4jrsjbt', 't5ziuruuve4o4zugbfv6jbyptigitmz5']"
6dabpvmkh4fm6vgdtgprkjo3u5ll266p,superlu-dist,6.2.0,0,SUCCESS,Not Scheduled,6dabpvmkh4fm6vgdtgprkjo3u5ll266p,zkd53gdggituajsrdqdxpvrxy62iieww,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/superlu-dist/specs/6dabpvmkh4fm6vgdtgprkjo3u5ll266p.yaml,"['pernvbjtuazsz4ng7xahj4x3rz6kp622', 'ce4645cqpddic2tcnsfim4pt43ntjoef', 'unrvf6ehypzcbivpfz3d3a6wwj7ab4bi', 'uerfhf2dxzfeeq34cz7oumw6f2nye7kf', 'ziu5ashog6454frs24e5prfkg727i7e5']"
73mtgo7j4se4zdgaa2rsr4yip32kukhg,superlu-dist,6.4.0,0,SUCCESS,Not Scheduled,73mtgo7j4se4zdgaa2rsr4yip32kukhg,lmnpjsgvzoenoesozfhwsg22qk5blmep,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/superlu-dist/specs/73mtgo7j4se4zdgaa2rsr4yip32kukhg.yaml,"['2polunnjoafbfmvqxcikvj4x7zuqxc5u', 'g46efxls2226t36zbvd4r262xvwxh443', '4nzq2eqvti2hifnqlkafgwvgpenqaale', 'pixgaikfwcfvjoaxl6ttns5cnaygnlh7', 'q6zxdash3mbca24gdb6owh5avecusxxk']"
77aaq7o2maribtx4lxsyuic6lvv7oh6a,superlu-dist,5.1.3,0,SUCCESS,Not Scheduled,77aaq7o2maribtx4lxsyuic6lvv7oh6a,ln2rmssw7pfeedxyz5b44bbuje2n3u3w,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/superlu-dist/specs/77aaq7o2maribtx4lxsyuic6lvv7oh6a.yaml,"['f6pmtbfpfyjszbukxpsma5wq3rgi3joh', 'srtu6cf6stojqwktiiri6attfyfojqo7', 'oos6gwszelolzfanpnpghhdq6uco6yiq', 'uerfhf2dxzfeeq34cz7oumw6f2nye7kf', 't7zqhdmb4ngznmalouzdh6vye5k6ntrk']"
agqhkw4okse7cwv3xwrhjw6evp3o3uf3,superlu-dist,6.1.1,0,SUCCESS,Not Scheduled,agqhkw4okse7cwv3xwrhjw6evp3o3uf3,qwsu7j6gaqylegun6ixhzw4wsl3oki7m,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/superlu-dist/specs/agqhkw4okse7cwv3xwrhjw6evp3o3uf3.yaml,"['lbpam6wrjq2wvbwursykmvrhgofchnek', 'r566r4v2icyrlpew62kzfyb2qbacitme', 'o67hxbh52k63nf4og7xilfcc2gsfhrcl', 'qbx2cckwws5nn4kmmg5u7wdg6up44gul', 'tx5qhq3qshyzjfuab5d2xm5chnmify5q']"
