,name,version,level,Status,Reason,full_hash,hash,Num Successes,Num Fails,Alloc Time,yaml_file,dependencies
2eily5twube2ugnoefaxrzv2v7ofrnqc,swig,master,0,SUCCESS,Not Scheduled,2eily5twube2ugnoefaxrzv2v7ofrnqc,gvy3zspeloziheevr63husgmnakw7byf,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/swig/specs/2eily5twube2ugnoefaxrzv2v7ofrnqc.yaml,"['qzy6pt6jnsdaeyfqebbg3yyme4gtxyoo', 'kfp632nh4fw7a3s64wmrnntr452jwpxr', 'wkx54ffsqp4sfqih5uwnjacwzkyacbn4', 'xwmagaircy74dxq3wfpo76z2rkbbbvas', 'j7cpn4yk3dlnifwdpembd5kqghefk7y7', 'lx2o6qois7ilxmf3asv43h6r6jtai4uu']"
2h5gv222loxa76ggqh2nekkxiqv66c2p,swig,1.3.40,0,SUCCESS,Not Scheduled,2h5gv222loxa76ggqh2nekkxiqv66c2p,jhrntcze3d72naqlad6utzyhjberumtq,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/swig/specs/2h5gv222loxa76ggqh2nekkxiqv66c2p.yaml,"['zbtnxeb55zzganijpkpykv6ae6gnnqdw', 'lx2o6qois7ilxmf3asv43h6r6jtai4uu']"
2k46nhvzvn6q37t7wrrq6sjlx64cxvgf,swig,4.0.2-fortran,0,SUCCESS,Not Scheduled,2k46nhvzvn6q37t7wrrq6sjlx64cxvgf,iew7p5l524csvxcotcmc3rkxuiraat7y,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/swig/specs/2k46nhvzvn6q37t7wrrq6sjlx64cxvgf.yaml,"['qzy6pt6jnsdaeyfqebbg3yyme4gtxyoo', 'qzpyd7lo66x7pz2qzwgkxjrraae4aqqq', 'wkx54ffsqp4sfqih5uwnjacwzkyacbn4', 'xwmagaircy74dxq3wfpo76z2rkbbbvas', 'ikkvse2f6x5jeegkmhugg2otefchojdx', 'lx2o6qois7ilxmf3asv43h6r6jtai4uu']"
2l55hy27lhax5kmhwtw562a4jxp7l55x,swig,master,0,SUCCESS,Not Scheduled,2l55hy27lhax5kmhwtw562a4jxp7l55x,qasvpdinjq5b6f7opgsnc3xsrqbek4yb,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/swig/specs/2l55hy27lhax5kmhwtw562a4jxp7l55x.yaml,"['qzy6pt6jnsdaeyfqebbg3yyme4gtxyoo', 'zmjejwcd3cxmd3zk3g5ina5vxqtdqyua', 'wkx54ffsqp4sfqih5uwnjacwzkyacbn4', 'xwmagaircy74dxq3wfpo76z2rkbbbvas', 'yq6xzfeblhdaqk5m5ro5cp7gcaxxu7pg', 'lx2o6qois7ilxmf3asv43h6r6jtai4uu']"
2lez2rcct3qoiie2rbcdeo335inf42dc,swig,1.3.40,0,SUCCESS,Not Scheduled,2lez2rcct3qoiie2rbcdeo335inf42dc,yt2qn7xlsbqncafmlmsu5qmrb2gooioo,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/swig/specs/2lez2rcct3qoiie2rbcdeo335inf42dc.yaml,"['jnqlgignljlyfrzuc5o7oef4lwd4ykuq', 'lx2o6qois7ilxmf3asv43h6r6jtai4uu']"
2waic5pz4jklnhgaspy4r232i3emviul,swig,fortran,0,SUCCESS,Not Scheduled,2waic5pz4jklnhgaspy4r232i3emviul,z56c2wb3wthp7jxbhg24qqk353vazxin,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/swig/specs/2waic5pz4jklnhgaspy4r232i3emviul.yaml,"['qzy6pt6jnsdaeyfqebbg3yyme4gtxyoo', 'qzpyd7lo66x7pz2qzwgkxjrraae4aqqq', 'wkx54ffsqp4sfqih5uwnjacwzkyacbn4', 'xwmagaircy74dxq3wfpo76z2rkbbbvas', 'ikkvse2f6x5jeegkmhugg2otefchojdx', 'lx2o6qois7ilxmf3asv43h6r6jtai4uu']"
2x2be7hw2b6ov6uy6vuduenozdtu6s5d,swig,4.0.2,0,SUCCESS,Not Scheduled,2x2be7hw2b6ov6uy6vuduenozdtu6s5d,6vwci3lcsvbyhqtpdukluloj364yxp6p,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/swig/specs/2x2be7hw2b6ov6uy6vuduenozdtu6s5d.yaml,"['inqkirjvjsyjvub2fsf62ut5pd7wrkqa', 'lx2o6qois7ilxmf3asv43h6r6jtai4uu']"
2xehcv3l7i2xv7yzscubz3nfize4qenu,swig,master,0,SUCCESS,Not Scheduled,2xehcv3l7i2xv7yzscubz3nfize4qenu,4fh2docnxxppwfhvnr3kbi4m5h7laruk,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/swig/specs/2xehcv3l7i2xv7yzscubz3nfize4qenu.yaml,"['qzy6pt6jnsdaeyfqebbg3yyme4gtxyoo', 'qzpyd7lo66x7pz2qzwgkxjrraae4aqqq', 'wkx54ffsqp4sfqih5uwnjacwzkyacbn4', 'xwmagaircy74dxq3wfpo76z2rkbbbvas', 'zbtnxeb55zzganijpkpykv6ae6gnnqdw', 'lx2o6qois7ilxmf3asv43h6r6jtai4uu']"
3axelgekw4ameylmstnwu72qak6qairs,swig,fortran,0,SUCCESS,Not Scheduled,3axelgekw4ameylmstnwu72qak6qairs,h4lzr5lctz3uyp3ymsl4pnxb2bds7fyc,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/swig/specs/3axelgekw4ameylmstnwu72qak6qairs.yaml,"['qzy6pt6jnsdaeyfqebbg3yyme4gtxyoo', 'oo3y3s3qo5k5h6zu43anvgxcsj5ptz5h', 'wkx54ffsqp4sfqih5uwnjacwzkyacbn4', 'xwmagaircy74dxq3wfpo76z2rkbbbvas', '7uueifhybc6adklrkfyjp3dc7h5cpgdp', 'lx2o6qois7ilxmf3asv43h6r6jtai4uu']"
3fn5gi23gairh5igwqzmdn6rthqlz6l6,swig,master,0,SUCCESS,Not Scheduled,3fn5gi23gairh5igwqzmdn6rthqlz6l6,qasvpdinjq5b6f7opgsnc3xsrqbek4yb,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/swig/specs/3fn5gi23gairh5igwqzmdn6rthqlz6l6.yaml,"['qzy6pt6jnsdaeyfqebbg3yyme4gtxyoo', 'qzpyd7lo66x7pz2qzwgkxjrraae4aqqq', 'wkx54ffsqp4sfqih5uwnjacwzkyacbn4', 'xwmagaircy74dxq3wfpo76z2rkbbbvas', 'yq6xzfeblhdaqk5m5ro5cp7gcaxxu7pg', 'lx2o6qois7ilxmf3asv43h6r6jtai4uu']"
