,jobid,unmatched_at,total_subsystems,max_percent_matched
0,vdcbtocnak4kyr6g37j272g2ltecyzuh,13,33,0.3939393939393939
1,cqyudkns4r5emut2ldjuixd2b2cbanzo,15,35,0.42857142857142855
2,igjwgo2vk4neuq46b5vwvkysrxrufyxt,14,31,0.45161290322580644
3,aigxm34ihpmzzkiesmjkxfpeg7rkcxfe,14,31,0.45161290322580644
4,qxnd43bnavgv3meku2t7l7242u4nehs5,13,49,0.2653061224489796
5,2zvzcoeu2c4pc5vbtepnaxhvohfy2hvk,14,33,0.42424242424242425
6,rzw76ib7kwffefkahe436nlykwmerw6b,31,41,0.7560975609756098
7,cyso24wiagdcul6vf2q5ocpcmnhf6fgw,15,32,0.46875
8,q7acjnesaq3hbg6y44hwvxykd5ma5egz,15,32,0.46875
9,w5ecaeq2mtuyfyjkfkfuaspfh75u7an3,15,32,0.46875
10,ujputgs22hovq2lx5q5lch5thaqruein,14,30,0.4666666666666667
11,p4r5yxwhpfwqryf2fmhq3uhhwwhlfyx6,15,31,0.4838709677419355
12,vgcw7m3cx67hgggnzotxpgt37vcj423e,15,31,0.4838709677419355
13,db55qaw4omjsalud6nsygpy3wjxiwvmu,16,31,0.5161290322580645
14,2wcp3ult7drkktfw6at6xumgnfirwjfn,16,31,0.5161290322580645
15,rhxmoprrcytn74kmmo3pv7uz3455mcny,15,32,0.46875
16,bdpw3dfjr6fcsdsyzvku3glap7yqgc5k,14,35,0.4
17,hvvlhfakjptj7enygqtwm2merz5wgmu5,17,33,0.5151515151515151
18,nugcazuruhfkq3jrghfaruvoyzzd3lbi,17,33,0.5151515151515151
19,nx7hzqualq3o5hhvexd3tas5ydgunqeh,15,31,0.4838709677419355
20,bohtp2n4frqxe57tmufq3ptur6fhzwqw,14,35,0.4
21,ph3r53vkhwiopthb52sfsx2hyh6v3ylg,16,33,0.48484848484848486
22,r6dj4es6cejins5fecto4lqhth6k2qku,15,35,0.42857142857142855
23,45bu6at6pzp4nnmtcb3dlvucq4la5npt,21,34,0.6176470588235294
24,wslo764vs3jssftbtmxkk6lnp2szv7pd,20,41,0.4878048780487805
25,2yn5ujc5yh6oe6anfymhntntdslpnedz,21,41,0.5121951219512195
26,op7vfnlmf2t2crinacagk4k4wu4gij4f,16,31,0.5161290322580645
27,wl7aeiydb4v7j6thz5fayojjevqiezmi,30,39,0.7692307692307693
28,ww5pnsymccbr77vqd2ysjf7yslceixw7,16,35,0.45714285714285713
29,65e2wtwqmoqjfdx5fyogjly5uu5nyvjd,15,35,0.42857142857142855
30,sja2m5ms66h3gukldnnn3yfp2c36lnt5,13,49,0.2653061224489796
31,cmq6vphebfqe75vbgq3uxxmihp5bj27l,20,32,0.625
32,pi2fqfaltqzewaeqqrzq7x7itd4wzhuy,16,35,0.45714285714285713
33,cech66tcjj4iusfgd4ni5a23aauxpaed,16,30,0.5333333333333333
34,dela6mfaucynwyrxlajzmzoucwxotf3y,16,31,0.5161290322580645
35,dxe4kuuypeevptjekbv7b5mfoaxhc4o6,16,33,0.48484848484848486
36,beghtg4vtmx3hfxhlnfavcqo2gel3rod,17,31,0.5483870967741935
37,5oatm46ezfjibtwx3jmjvvjgdtpyuh4c,17,32,0.53125
38,3qvhkjzpex6k3pgoic2hzcphqvwegokf,15,31,0.4838709677419355
39,taiyfvajzhkasc7zj7cbxtbxxdm6tnyq,26,35,0.7428571428571429
40,wm7zpjtkkfheusgd5pwlnlxeifejovgb,21,41,0.5121951219512195
41,2bp4kam5gfcr6otdq5e24qwaoxw6yf7v,17,34,0.5
42,ljsyoqf6o4krlyfmfbwdkddylryh6cuw,17,31,0.5483870967741935
43,rcgslrwqcisbsidxcu37hre5xuawujb3,15,30,0.5
44,b224ovjwun6hb36vjuafydhu2qh3gqeh,16,35,0.45714285714285713
45,2nz65oc2zqilpcxwy64peffcen3vl4bo,18,31,0.5806451612903226
46,4ziyrpncgj2mustqrm2mzia4af46kkaa,16,35,0.45714285714285713
47,4meaou6pwlru7vyv4qp4nr5tmfyjlevy,15,33,0.45454545454545453
48,cvlnfjrobmzizmqr62yoh6en4a6py5w2,15,35,0.42857142857142855
49,oqxkyhtvcnpw46w6hp2iuckbbxirdyqa,21,31,0.6774193548387096
50,7dg7czgok7dfo5a7j4j6a6pyzbctnysq,16,35,0.45714285714285713
51,eadjeri4pugpjbxoxnyh4peyotlvbqho,15,34,0.4411764705882353
